tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/AAA_Amhara/status/1651307658979299328,2023-04-26T19:30:00.000Z,"📢#REPORT: AAA's latest report confirms that Oromo ENDF killed at least three civilians &amp; injured an additional 21 in Merawi town (North Mecha Woreda, West Gojjam Zone, Amhara Region, Ethiopia) during peaceful protests on April 10, 2023.
#AmharaResistance
https://t.co/tXvtrqrqJR",151,18,164,14,23806,"REPORT,AmharaResistance",
https://twitter.com/AAA_Amhara/status/1651246647773474817,2023-04-26T15:27:34.000Z,"📢#UPDATE: On April 20, 2023, OLA forces attacked Efratana Gidim Woreda (Amhara Region) following dispersal of ASF by order of the PP regime, leaving 7 civilians dead and 2 injured. Among the deceased are 1️⃣Ahimyew;
2️⃣Esubalew Zenebe;
3️⃣Negash Debebe;
4️⃣Mamush and
5️⃣Seyoum. https://t.co/WnWvqlAIQ0",155,15,152,12,11448,UPDATE,
https://twitter.com/AAA_Amhara/status/1650665734463275011,2023-04-25T00:59:13.000Z,"Read the the legal analysis report on #AmharaGenocideinOromia below.

https://t.co/yOnKqul2XH",32,2,33,3,1606,AmharaGenocideinOromia,
https://twitter.com/AAA_Amhara/status/1650665579689172994,2023-04-25T00:58:36.000Z,"📢#MEDIA: In her interview with @magermedia, AAA Director of Community Engagement Rediet Tefera explains AAA's Special Report: ""Legal Analysis on the ongoing #AmharaGenocide in ""Oromia"" Region, Ethiopia: A Plea for Accountability"".

#AmharaResistance

https://t.co/xFGziks87B https://t.co/c7lxgXrAhp",159,20,183,11,10326,"MEDIA,AmharaGenocide,AmharaResistance",magermedia
https://twitter.com/AAA_Amhara/status/1650608573339119619,2023-04-24T21:12:05.000Z,".@LemkinInstitute's latest red flag alert reads: ""The Lemkin Institute urges members of the regional and international communities immediately to direct their attention to the situation of the Amhara and to take concrete steps in order to stop the spread of the clashes and to… https://t.co/Bd2nIuKExJ https://t.co/iflnoo53Uw",180,9,222,8,12467,,LemkinInstitute
https://twitter.com/AAA_Amhara/status/1649548624555024384,2023-04-21T23:00:13.000Z,"RT @CHR_HumanRights: [VIDEO] 📽️📽️📽️
Condemnation of human rights violations by Ethiopian state and non-state

A @CHR_HumanRights advocacy p…",132,0,0,0,166,,"CHR_HumanRights,CHR_HumanRights"
https://twitter.com/AAA_Amhara/status/1649488171594403843,2023-04-21T19:00:00.000Z,".@peeblesgraham (@NatCounterPunch): ""The ENDF, which should be protecting the Amhara people, is not trusted any more than the government is; with a command structure dominated by Oromo personnel it is seen not as a national force, but as an ethnic army"".

https://t.co/q4m0veztd0",131,17,141,10,10769,,"peeblesgraham,NatCounterPunch"
https://twitter.com/AAA_Amhara/status/1649429397705744388,2023-04-21T15:06:27.000Z,"@CHR_HumanRights @UPLawFaculty @UPTuks @achpr_cadhp More information on the complaint below.

https://t.co/Lfdo3RRSUK",23,1,31,1,1976,,"CHR_HumanRights,UPLawFaculty,UPTuks,achpr_cadhp"
https://twitter.com/AAA_Amhara/status/1649429068301860864,2023-04-21T15:05:09.000Z,"📢#MEDIA: Watch this video to understand why AAA in collaboration with @CHR_HumanRights @UPLawFaculty @UPTuks filed a complaint to @achpr_cadhp against GoE on behalf of Amharas who have faced mass atrocities by the OLA &amp; OSF in Ethiopia's Oromia Region.

https://t.co/X6TR5WwJgB https://t.co/fEgIA1egJQ",189,12,194,11,9582,MEDIA,"CHR_HumanRights,UPLawFaculty,UPTuks,achpr_cadhp"
https://twitter.com/AAA_Amhara/status/1649267300640473088,2023-04-21T04:22:21.000Z,"📢#UPDATE: On April 13th, 2023, Dr. Wondwossen Assefa was abducted by Abiy regime forces following the outbreak of anti-regime #AmharaProtests. Dr. Assefa is a medical doctor, health economist, strategic consultant, husband and father. #FreeWondwossenAssefa #FreeAmharaDetainees https://t.co/zmwI9Kp1n4",360,12,379,29,20421,"UPDATE,AmharaProtests,FreeWondwossenAssefa,FreeAmharaDetainees",
