tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/AbiyAhmedAli/status/1651821819039473664,2023-04-28T05:33:05.000Z,The great people of Sudan deserve peace. I have held phone discussions with both General Abdel Fattah al-Burhan and General Mohamed Hamdan Dagalo on the need to settle differences amicably and bring stability to Sudan.,339,278,1177,41,79712,,
https://twitter.com/AbiyAhmedAli/status/1651605262308978691,2023-04-27T15:12:34.000Z,https://t.co/kZR6xCptGM,576,1328,1915,187,383267,,
https://twitter.com/AbiyAhmedAli/status/1650227303132086276,2023-04-23T19:57:03.000Z,“Enough With War - Let’s Celebrate Peace” https://t.co/BL1eQkUhRO,857,856,3053,121,214630,,
https://twitter.com/AbiyAhmedAli/status/1649078063928418310,2023-04-20T15:50:23.000Z,እንኳን ለዒድ አል ፈጥር በዓል በሰላም አደረሳችሁ! https://t.co/VJ15Ob6dQ7,473,245,1616,20,95887,,
https://twitter.com/AbiyAhmedAli/status/1649041947292585986,2023-04-20T13:26:52.000Z,أثيوبيا تحذر الجهات التي تعمل في التحريض والوقيعة بينها وبين السودان الشقيق https://t.co/1fg67a5NKe,436,225,1274,66,226767,,
https://twitter.com/AbiyAhmedAli/status/1648641034073649154,2023-04-19T10:53:47.000Z,ሰላም የሁሉም መልካም ነገር መሠረት እንደመሆኑ፣ ያለ ሰላም ልማት የማይታሰብ ነው። ሕዝባችን ሰላሙን በማረጋገጥ ፊቱን ወደ ልማት እንዲያዞር የማድረግ የጋራ ኃላፊነት አለብን:: በነቀምት ለነበረኝ ቆይታ እና ውይይት ሕዝቡን አመሰገናለው። https://t.co/ffvCB4aVZz,594,575,2188,50,154928,,
https://twitter.com/AbiyAhmedAli/status/1648544612628176898,2023-04-19T04:30:38.000Z,Ayidde cambalaalla! https://t.co/QMOuwOO3vo,261,173,952,14,75866,,
https://twitter.com/AbiyAhmedAli/status/1647978411657183232,2023-04-17T15:00:45.000Z,الشعب السوداني يتمتع بالحكمة والقدرة  الكافيتين لحل الأزمة الحالية https://t.co/QqrjyaaFE0,439,318,1435,32,185592,,
https://twitter.com/AbiyAhmedAli/status/1647253326675816449,2023-04-15T14:59:32.000Z,ندعو الأطراف السودانية الشقيقة إلى الاحتكام لضبط النفس، والتوقف عن القتال، والعودة إلى مسار الحوار. https://t.co/arUvPEi3xB,420,209,1201,43,176065,,
https://twitter.com/AbiyAhmedAli/status/1647213155808935938,2023-04-15T12:19:54.000Z,እንኳን ለኢየሱስ ክርስቶስ የትንሣኤ በዓል አደረሰን፣ አደረሳችሁ! https://t.co/FA4od8RDuP,402,368,1445,26,126144,,
