tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/AdanechAbiebie/status/1651642817645518849,2023-04-27T17:41:48.000Z,"Even if you can kill Girma today, you cannot kill the idea and the purpose he stands for. The losing idea of extremism is dying and the idea of fraternity will continue to win.
I send my condolences to his family, friends and colleagues. May he rest in peace.2/2 https://t.co/NDWJV1rGWk",55,58,238,2,13314,,
https://twitter.com/AdanechAbiebie/status/1651642811689709569,2023-04-27T17:41:47.000Z,"I am deeply saddened by the death of Mr Girma Yeshitla, who was the head of Amhara Region's prosperity branch office.He is a man of integrity who fought bravely for the cause of brotherhood and national unity he believed in.1/2 https://t.co/3l0Y9s80JX",116,246,470,23,52802,,
https://twitter.com/AdanechAbiebie/status/1650793109037391873,2023-04-25T09:25:22.000Z,እና ዘመናዊ አገልግሎት ለመስጠት የጀመርናቸውን ስራዎች አጠናክረን እንቀጥላለን።4/4,17,16,78,1,4677,,
https://twitter.com/AdanechAbiebie/status/1650793104717357057,2023-04-25T09:25:21.000Z,ስራዎች ተሰርተዋል።የዲጂታል አገልግሎት ከተጀመረባቸው የሲቪል ምዝገባና የነዋሪነት አገልግሎት በተጨማሪ የመሬት፣ የገቢዎች፣ የግንባታ ፍቃድ፣ የንግድና የጤና ዘርፎች ላይ ቀልጣፋ አገልግሎት እየሰጠን ሲሆን ነዋሪዎቻችንን የሚመጥን ቀልጣፋ ..3/4 https://t.co/DntjdZs5L3,29,13,117,1,5885,,
https://twitter.com/AdanechAbiebie/status/1650793081489244162,2023-04-25T09:25:15.000Z,በኮልፌ ቀራንዩ ክፍለ ከተማ ወረዳ 4 እና 5 ተገኝተን የጎበኘን ሲሆን፣በማዕከሎቹ የቴክኖሎጂ ስራዎች፣ የአገልግሎት አከባቢን ምቹ የማድረግ፣የነዋሪ መረጃ አያያዝ ስርዓት በቴክኖሎጂ በመደገፍ የማደራጀት እንዲሁም ሌሎች አገልግሎትን የሚያቀላጥፉ 2/4 https://t.co/36UxYyBqQs,15,5,61,0,3561,,
https://twitter.com/AdanechAbiebie/status/1650793062187114498,2023-04-25T09:25:10.000Z,ዛሬ ማለዳ የእንግልት እና የምሬት ምንጭ የነበረውን የሲቪል ምዝገባና የነዋሪነት አገልግሎት አሰጣጥ በመለወጥ ለህዝቡ ቀልጣፋ እና ዘመናዊ አገልግሎት ለመስጠት የሚያስችሉ በ37 ወረዳዎች የተሰሩ ስራዎችን አስጀምረናል።1/4 https://t.co/hHzvmC0qwy,75,71,343,7,36356,,
https://twitter.com/AdanechAbiebie/status/1650224587219533824,2023-04-23T19:46:15.000Z,"For the end of the peace agreement that seen today, we extend our acknowledgments for our alliances who endeavored seeking peace for Ethiopia.Above all,  glory and praise to our Almighty!3/3",21,16,76,0,4666,,
https://twitter.com/AdanechAbiebie/status/1650224582240894979,2023-04-23T19:46:14.000Z,"For the end and implementation of the signed peace agreement, We should all committed to fulfill our responsibilities. 2/3 https://t.co/45unqJT7wE",39,22,149,3,6643,,
https://twitter.com/AdanechAbiebie/status/1650224565509816323,2023-04-23T19:46:10.000Z,"Peace to Ethiopia ""Let the war end let us preserve peace""
Today, our country has assured to the world that as an African solution is possible for African problems. 1/3 https://t.co/47fSadgtj7",80,131,441,13,32113,,
https://twitter.com/AdanechAbiebie/status/1650109633426513920,2023-04-23T12:09:28.000Z,"happiness of the #Oromo people through beautiful art. 
My condolences to his family and fans. 
May his soul rest in peace.2/2 https://t.co/Qi38qxe6E4",15,7,72,0,4514,Oromo,
