tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/AndargachewTse2/status/1651644206673272833,2023-04-27T17:47:19.000Z,"እሁድ መጋቢት 15 2015 “ጦርነት ይብቃ ሰላምን እናጽና” በሚል መሪ ቃል በወዳጅነት አደባባይ ስለተካሄደው ወለፈንዴ ተወኔት የግል ምልከታ፤
https://t.co/q5U5mrl9iW https://t.co/Oi67H4qX56",105,187,338,17,45963,,
https://twitter.com/AndargachewTse2/status/1646991568434282501,2023-04-14T21:39:24.000Z,የአዲስ አበባ ህዝብ ይወቀው! በትግራይ በረሃና በየጦር ግንባሩ ሲቀሰቅሱ የነበሩ እንደ ሙሉጌታ ማሉዳና ሰሎሞን ባይራይ የተባሉ የወያኔ ዘፋኞች ዛሬ አዲስ አበባ መሃል የድል ኮንሰርት አዘጋጅተው ለመግቢያ 100 እና 50 ሽህ ብር እያስከፈሉ ሊጨፍሩ ነው። https://t.co/Fv41DENDTh,358,1322,747,160,301011,,
https://twitter.com/AndargachewTse2/status/1646977693991460865,2023-04-14T20:44:16.000Z,"“ማሞ ሌላ መታወቂያው ሌላ"" በሚል ርእስ ከአማራ ልዩ ሃይል መፍረስ ጋር ያለኝን አስተያየት ያሰፈርኩበትን ጽሁፍ ማንበብ ለሚፈልግ ሊንኩ ይሄው:
https://t.co/L0CVJywOYe",118,153,299,10,44329,,
https://twitter.com/AndargachewTse2/status/1643144772532555776,2023-04-04T06:53:36.000Z,ሰላም ወገኖቼ: እውነት ብቻ ሳይሆን እውቀትም ነጻ ያወጣል:: ብዙዎች ብዙ ያሉበትን የአርበኞች ግንቦት 7 ን የለውጥ ፍኖተ ካርታ ማንበብ የምትፈልጉ በዚህ ሊንክ በኩል ታገኙታላችሁ::              https://t.co/vC9Wn0Q36l,90,153,276,8,48133,,
https://twitter.com/AndargachewTse2/status/1642904218217349122,2023-04-03T14:57:43.000Z,RT @DenisRogatyuk: Marco Rubio reveals the most important reason for the fear and panic around de-dollarisation - US sanctions and economic…,520,0,0,0,0,,DenisRogatyuk
https://twitter.com/AndargachewTse2/status/1640443331292307468,2023-03-27T19:59:02.000Z,"“ኢትዮጵያ ወደ ቀውስ” የሚለውን ረጅም ጽሁፍ ማንበብ ለከበዳችሁ የድምጽ ቅጂው ይሄውላችሁ:: ጊዬን መጽሄትን በናንተ ስም አመሰግናለሁ:: እናንተም ሰብስክራይብ በማድረግ ተባበርዋቸው::            

https://t.co/wXdTyaudKG",91,83,309,4,35072,,
https://twitter.com/AndargachewTse2/status/1640040072614408193,2023-03-26T17:16:38.000Z,የህወሃት ከሽብርተኛነት ፍረጃ ነጻ የሆነበት ሂደትና የትግራይ ጊዚያዊ መንግስት አመሰራረት የትግራይናን እና የተቀረውን የኢትዬጵየን ህዝብ ለከፋ መከራ ያመቻቸ ነው:: እንዴት? ይህን ሊንክ በመጫን ያንብቡ:: @NeaminZeleke  https://t.co/kPArpbgRzt,163,200,416,16,63474,,NeaminZeleke
https://twitter.com/AndargachewTse2/status/1637009051019096065,2023-03-18T08:32:26.000Z,በህወሃት ፕሬዚደንትነት የጌታቸው ረዳ አመራረጥ፤ የሴራ ፖለቲካ በትግራይ ። ምን ሆነ፤ ማን ከማን ተቧደነ? ለምን በትግራይ የሚሆነው ሊያሳስበን ይገባል? በሚቀጥለው ሊንክ ማንበብ ይችላሉ። https://t.co/5RZqrcFFDS https://t.co/7D9KIfxSvJ,85,222,188,22,70340,,
https://twitter.com/AndargachewTse2/status/1636766478044213251,2023-03-17T16:28:32.000Z,"ውድ ወገኖቼ
""ወደ ሰላም ወይም ወደ ቀውስ፤ የትግራይ - ኢትዮጵያ ጉዳይ"" የሚለውን ጽሁፌን  ""ዘሃበሻና ሌሎች የዩትዩብ  አውታሮች በተለያዩ ክፍሎች በድምጽ አንብበውታል። የድምጽ ቅጅ ለማዳመጥ  ሊንኮቹ  እነሆ 
https://t.co/pvr3YSsNkD
https://t.co/fu73jb0d6c",91,72,275,4,33416,,
https://twitter.com/AndargachewTse2/status/1635042751560712192,2023-03-12T22:19:04.000Z,ውድ ወገኖቼ ! ወደ ሰላም ወይም ወደ ቀውስ፤ የትግራይ - ኢትዮጵያ ጉዳይ… በሚል ርእስ የጻፍኩትን ጽሁፍ ለማንበብ የሚከተለውን ሊንክ ተጫኑ። ጽሁፍ በሁለት ክፍል የተከፈለ ነው። ክፍል ሁለትንም እዛው ታገኙታላችሁ። https://t.co/BUPFV8ZE1V,182,236,575,32,95781,,
