tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/BeleteMG/status/1635347193157812224,2023-03-13T18:28:48.000Z,"Received to my office, H.E Mr. Hua Liu, Deputy Director General of the IAEA. We discussed on further strengthening collaboration between the Agency &amp; Ethiopia. The IAEA is having its annual meeting of AFRA NCs &amp; NLO's in Addis, the Ministry of Innovation &amp; Technology is hosting. https://t.co/WWeyHHQ0Sn",8,16,40,0,4673,,
https://twitter.com/BeleteMG/status/1635344008976420864,2023-03-13T18:16:09.000Z,https://t.co/FnYsVPLVuV,1,0,4,0,1659,,
https://twitter.com/BeleteMG/status/1635343989678419972,2023-03-13T18:16:05.000Z,https://t.co/QtSCo82XRu,2,2,1,0,1959,,
https://twitter.com/BeleteMG/status/1598773812044046336,2022-12-02T20:19:15.000Z,"Talking to Vinton Gray Cerf, an internet pioneer, who is also recognized as one of ""the fathers of the internet"" was such a happy moment. 
Thanks for coming to Ethiopia !

#IGF2022 has come to a conclusion and the whole proceeding was just wonderful. https://t.co/ni8s4O7pTt",22,53,112,1,0,IGF2022,
https://twitter.com/BeleteMG/status/1597676573058297856,2022-11-29T19:39:13.000Z,"Held a press briefing about the proceedings of #IGF2022 with UN Undersecretary General, Mr. Li Junhua, and Mr. Antonio Pedro - Executive Secretary of UN-ECA. 
#IGF2022 is going so very well @AddisAbaba. https://t.co/Bgye9YKHKA",7,14,24,1,0,"IGF2022,IGF2022",addisababa
https://twitter.com/BeleteMG/status/1597673722143731712,2022-11-29T19:27:53.000Z,"#IGF2022
Held a bilateral discussion with Mr. Li Junhua, UN Under Secretary General. 
#IGF2022 is going so very well at UN-ECA Headquarters, Addis Ababa. https://t.co/gM1v1rZ5ob",8,10,32,1,0,"IGF2022,IGF2022",
https://twitter.com/BeleteMG/status/1597671103974866944,2022-11-29T19:17:29.000Z,"#IGF2022 
Received Doreen Bogdan, Secretary General of the International Telecommunications Union, had a very good conversation. https://t.co/IARadBzIqS",14,22,89,3,0,IGF2022,
https://twitter.com/BeleteMG/status/1597308200621334528,2022-11-28T19:15:26.000Z,"#IGF2022 @AddisAbaba
It has begun very well. https://t.co/QjLA7sJIRn",17,39,93,1,0,IGF2022,addisababa
https://twitter.com/BeleteMG/status/1594745766970626050,2022-11-21T17:33:14.000Z,"7 Days
Here's a quick guide to join #IGF2022 sessions online as an individual participant, speaker or moderator:  https:
//bit.ly/IGF2022Eth, Resilient Internet for a Shared Sustainable and Common Future, Addis Abeba, Ethiopia, from Nov 28 to Dec 2.
#ResilientInternet https://t.co/yOyRrxM50o",14,19,42,1,0,"IGF2022,ResilientInternet",
https://twitter.com/BeleteMG/status/1593300856279007234,2022-11-17T17:51:40.000Z,"The 17th #IGF2022 will discuss ways to develop global frameworks to improve responsibility and accountability for the application of AI systems and its results. From Nov 28 to Dec 2, engage in #IGF2022 in person or online. https://t.co/VUfMxcqKKY 
#ResilientInternet 
#IGF2022",9,6,18,1,0,"IGF2022,IGF2022,ResilientInternet,IGF2022",
https://twitter.com/BeleteMG/status/1592974191896449026,2022-11-16T20:13:38.000Z,"Join the conversation: Register for #IGF2022, ""Resilient Internet for a Shared Sustainable and Common Future"", to be held in Addis Ababa, Nov 28 to 2 Dec 2022.
For more information visit our website: https://t.co/IIkvSu4Qhr 

#Resilientinternet #SDGs https://t.co/a6uy60s9q8",6,5,32,0,0,"IGF2022,Resilientinternet,SDGs",
https://twitter.com/BeleteMG/status/1592583563060600835,2022-11-15T18:21:24.000Z,"The 17th Internet Governance Forum #IGF2022 will be
hosted by the Government of Ethiopia from 28 Nov
to 2 Dec 2022 in Addis Ababa, under the theme
""Resilient Internet for a Shared Sustainable and Common
Future"".
Visit our website: https://t.co/IIkvSu4Qhr
#IGF2022
Miss it not! https://t.co/sPdVGnreuf",5,5,19,0,0,"IGF2022,IGF2022",
https://twitter.com/BeleteMG/status/1589717963900620800,2022-11-07T20:34:32.000Z,"RT @MinistryofInno2: #IGF2022
#ResilientInternet
#GlobalGoals
#SDGs
@intgovforum  
@IGFEthiopia2022 
@UNDESA 
@ECA_OFFICIAL 
@AbiyAhmedAli…",3,0,0,0,0,"IGF2022,ResilientInternet,GlobalGoals,SDGs","MinistryofInno2,intgovforum,IGFEthiopia2022,UNDESA,ECA_OFFICIAL,AbiyAhmedAli"
https://twitter.com/BeleteMG/status/1587873523309154304,2022-11-02T18:25:23.000Z,"RT @YemaneGirum: በጩኸት እና በጫጫታ ሳይሆን የአማራን ስነልቦና በመጠነ ጥበብ እና ስሌት።
አሸንፈናል @BeleteMG https://t.co/8asTRhMObY",54,0,0,0,0,,"YemaneGirum,BeleteMG"
