tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/BerhanuTsegaye/status/1651833944164257793,2023-04-28T06:21:16.000Z,Drawing on #Ethiopia's recent success in promoting harmony serves as a powerful reminder of the potential for dialogue as I echo PM @AbiyAhmedAli's call for peace in #Sudan. We aspire for the great people of Sudan to enjoy a future free from the impacts of strife and turmoil. https://t.co/VRTIMmnZX4,21,6,35,1,1751,"Ethiopia,Sudan",AbiyAhmedAli
https://twitter.com/BerhanuTsegaye/status/1651660157355720705,2023-04-27T18:50:42.000Z,በአገራችን ዘላቂ ሰላም ለማስፈን ተግተን እየሰራን ባለንበት  ወቅት  በአማራ ክልል ብልፅግና ፓርቲ ፅ/ቤት ኃላፊ አቶ ግርማ የሺጥላ ላይ በተፈጸመው ግድያ የተሰማኝን ጥልቅ ሀዘን እየገለጽኩ፣ ለቤተሰቦቹና ወዳጅ ዘመዶቹ መጽናናትን እመኛለሁ። https://t.co/TxTGmSOOd9,24,25,59,0,5033,,
https://twitter.com/BerhanuTsegaye/status/1651633856490110977,2023-04-27T17:06:11.000Z,"Collaboration, dialogue and experience sharing like this among East African nations are key to addressing shared security challenges and fostering regional stability. #Ethiopia's successful peace process can serve as a valuable model as well. https://t.co/7vuONGHONW",19,0,33,1,1346,Ethiopia,
https://twitter.com/BerhanuTsegaye/status/1651559357727879170,2023-04-27T12:10:10.000Z,"RT @EthioInDjibouti: As part of our ongoing weekly efforts to ensure the safety of our citizens, the Embassy with IOM facilitated the retur…",17,0,0,0,0,,EthioInDjibouti
https://twitter.com/BerhanuTsegaye/status/1651552881110323200,2023-04-27T11:44:25.000Z,"#Ethiopia continues to inspire with its unrelenting pursuit of peace. As regional leaders and senior officials gather in #Tigray, we are marching an exemplary step forward towards a more peaceful future, overcoming past conflicts and embracing a better tomorrow. https://t.co/R3JqpyWGQM",21,11,58,0,2834,"Ethiopia,Tigray",
https://twitter.com/BerhanuTsegaye/status/1651216838569893890,2023-04-26T13:29:07.000Z,"Proud to see our Search &amp; Rescue team's diligence during the February earthquake being recognized by the #Türkiye gov't for its Distinguished Humanitarian Service. Our 2 countries share a deep bond of solidarity &amp; cooperation, always standing together in times of crisis.  🇪🇹🤝🇹🇷 https://t.co/srS3kzGhpt",28,4,66,2,3354,Türkiye,
https://twitter.com/BerhanuTsegaye/status/1651199825399128064,2023-04-26T12:21:30.000Z,"46 companies from #Djibouti, led by H.E. Youssouf M. Dawaleh, Chairman of 🇩🇯 Chamber of Commerce, are attending #InvestEthiopia2023 forum in 🇪🇹. A great opportunity to boost economic integration b/n #Ethiopia &amp; #Djibouti, while exploring potential investment opportunities. https://t.co/yKJLn7znWY",25,3,70,1,3139,"Djibouti,InvestEthiopia2023,Ethiopia,Djibouti",
https://twitter.com/BerhanuTsegaye/status/1651177580278734849,2023-04-26T10:53:07.000Z,"#China's commitment to #Ethiopia's post-conflict reconstruction &amp; economic recovery &amp; the recent recognition of Xue Bing, China's Special Envoy for the Horn of Africa Affairs, by PM @AbiyAhmedAli, are testaments to the strength of our alliance and shared vision for lasting peace. https://t.co/3K1WtLANvV",26,3,50,1,2251,"China,Ethiopia",AbiyAhmedAli
https://twitter.com/BerhanuTsegaye/status/1651082042631933952,2023-04-26T04:33:29.000Z,"RT @EthioInDjibouti: A #Djiboutia|n business delegation, led by HE Youssouf M. Dawaleh, Chairman of 🇩🇯 Chamber of Commerce, was warmly welc…",21,0,0,0,0,Djiboutia,EthioInDjibouti
https://twitter.com/BerhanuTsegaye/status/1650822204442161153,2023-04-25T11:20:58.000Z,"#EU's move to normalize r/ns with #Ethiopia is a promising development, especially in light of the sustained implementation of the Pretoria agreement. This is a positive step towards strengthening our relations and a constructive sign for future collaborations &amp; what lies ahead. https://t.co/bgIUZHzEXH",26,9,47,3,2409,"EU,Ethiopia",
