tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/FLEthiopia/status/1649145713375211545,2023-04-20T20:19:12.000Z,ለመላው የእስልምና እምነት ተከታዮች እንኳን ለዒድ አል ፈጥር በዓል በሰላም አደረሳችሁ! https://t.co/jYAjyyeMW6,180,109,1123,8,45168,,
https://twitter.com/FLEthiopia/status/1647571393834360833,2023-04-16T12:03:25.000Z,RT @PMEthiopia: Prime Minister Abiy Ahmed and First Lady Zinash Tayachew hosted the annual Easter meal at Unity Park for the elderly and in…,169,0,0,0,0,,PMEthiopia
https://twitter.com/FLEthiopia/status/1647287538174795777,2023-04-15T17:15:28.000Z,እንኳን ለኢየሱስ ክርስቶስ የትንሣኤ በዓል አደረሳችሁ!  መልካም በአል https://t.co/6d2RbZ0KXC,200,261,1457,15,49027,,
https://twitter.com/FLEthiopia/status/1633074156009865216,2023-03-07T11:56:34.000Z,"ቀዳማዊት እመቤት ዝናሽ ታያቸው በጅማ ከተማ በማሪየት ሆቴሎች ስር የሆነውን  የፎር ፓይንትስ ባይ ሸራተን ሆቴል ጅማ ፕሮጀክት የመሰረት ድንጋይ አስቀምጠዋል ። 
የፕሮጀክቱ ባለቤት ሜድሮክ ኢንቨስትመንት ግሩፕ ነው ። 120  ክፍሎች ይኖሩታል ፡፡ https://t.co/s90odbtsD2",55,29,268,4,17118,,
https://twitter.com/FLEthiopia/status/1633046976638906370,2023-03-07T10:08:34.000Z,ቀዳማዊት እመቤት ዝናሽ ታያቸው በቦንጋ ከተማ ያስገነቡትን 6ኛውን የዳቦና ዱቄት ፋብሪካ መርቀው ስራ አስጀምረዋል። በቀን 300 ሺ ዳቦና 420 ኩንታል ዱቄት ያመርታል  ከ150 በላይ ሰዎች የስራ እድል የፈጠረው  ፕሮጀክት ግንባታው 11 ወራትን ወስዷል። https://t.co/qVx5oZ9dHS,128,92,515,14,62128,,
https://twitter.com/FLEthiopia/status/1633034772623552512,2023-03-07T09:20:04.000Z,ቀዳማዊት እመቤት ዝናሽ ታያቸው የቦንጋ ቀላል አውሮፕላን ማረፊያ  ግንባታ የመሰረት ድንጋይ አስቀምጠዋል ።ፕሮጀክቱን የሚያከናውነው ሜድሮክ ኮንስትራክሽን ሲሆን በሁለት ዓመት ጊዜ የሚጠናቀቅ ይሆናል። https://t.co/YlxLi3PeS6,45,15,190,2,10529,,
https://twitter.com/FLEthiopia/status/1628381504245051392,2023-02-22T13:09:39.000Z,ቀዳማዊት እመቤት ዝናሽ ታያቸው በጎንደር ከተማ ያስገነቡትን ከ11ዱ የዳቦ ቤት ፕሮጀክቶች አምስተኛውን መረቁ::በቀን 300 ሺ ዳቦና 420 ኩንታል ዱቄት ያመርታል ፡፡ቀሪ 6 ዳቦ ቤቶች ግንባታ በመካሄድ ላይ ነው ፡፡ https://t.co/hhURGwZVeQ,168,145,750,20,106101,,
https://twitter.com/FLEthiopia/status/1627273661429284865,2023-02-19T11:47:28.000Z,"First Lady Zinash Tayachew Delivered The Opening Remark on 27th OFLAD General assembly On ""Closing Gaps and Empowering Women And communities"". https://t.co/mhJLuHQt3i",134,43,625,5,43575,,
https://twitter.com/FLEthiopia/status/1627239922909192194,2023-02-19T09:33:24.000Z,RT @OAFLAD: “We’re working towards global projects that are #ClosingGenderGaps and empowering women and communities. Let's continue to supp…,27,0,0,0,0,ClosingGenderGaps,OAFLAD
https://twitter.com/FLEthiopia/status/1626969275775721473,2023-02-18T15:37:57.000Z,First Lady Zinash Tayachew welcomed the First Ladies of African countries who had  come to Addis Ababa to attend the 27th Ordinary General Assembly of the Organization of African First Ladies for Development at the Grand Palace. https://t.co/MaQJeg6pNc,134,30,601,13,35379,,
https://twitter.com/FLEthiopia/status/1615015867246313475,2023-01-16T15:59:22.000Z,https://t.co/NdWfEwwy7X,4,15,25,0,4578,,
https://twitter.com/FLEthiopia/status/1615014441950527490,2023-01-16T15:53:43.000Z,https://t.co/NPJ8nG5E02,4,6,25,0,5940,,
https://twitter.com/FLEthiopia/status/1611647526871990272,2023-01-07T08:54:48.000Z,ጠቅላይ ሚኒስትር ዶ/ር ዐብይ አሕመድና ቀዳማዊት እመቤት ዝናሽ ታያቸው  የገና በአልን ምክንያት በማድረግ ለአረጋዊያን ለአካል ጉዳተኞች እና ጎዳና ተዳዳሪዎች ማዕድ አጋርተዋል:: https://t.co/sLIUTTbu8s,163,111,787,13,55608,,
https://twitter.com/FLEthiopia/status/1606575990708535298,2022-12-24T09:02:19.000Z,ቀዳማዊት እመቤት ዝናሽ ታያቸው ዶ/ር ዐቢይ አሕመድ በተገኙበት በሃዋሳ ከተማ ከ11ዱ የዳቦ ቤት ፕሮጀክቶች 3ኛውን መርቀዋል። የቀዳማዊት እመቤት ፅ/ቤት በለሚ ኩራ ክ/ከተማ በቀን 1 ሚሊየን ዳቦ የሚያመርት ግዙፍ ፋብሪካ ጨምሮ 4 ዳቦ ቤቶች  አስመርቋል https://t.co/ZbPdQsnQbC,116,55,409,7,28907,,
https://twitter.com/FLEthiopia/status/1606202249574641665,2022-12-23T08:17:12.000Z,ጠቅላይ ሚኒስትር ዶ/ር አብይ አህመድና ቀዳማዊት እመቤት ዝናሽ ታያቸው  የቀዳማዊት እመቤት  ፅ/ቤት ያስገነባውን 300ሺ ዳቦና 42 ቶን ዱቄት የሚያመርት  ከ11ዱ የዳቦ ቤት ፕሮጀክት 2ኛው ፋብሪካ በወላይታ ሶዶ ከተማ መርቀዋል ፡፡ https://t.co/OgsMlazAvD,145,54,552,5,34617,,
https://twitter.com/FLEthiopia/status/1587797414127480834,2022-11-02T13:22:58.000Z,"RT @PMEthiopia: PM @AbiyAhmedAli, First Lady Zinash Tayachew, the Speaker of the HOPR, Ato Tagese Chafo &amp; other senior government leadershi…",310,0,0,0,0,,"PMEthiopia,AbiyAhmedAli"
https://twitter.com/FLEthiopia/status/1584175562314043393,2022-10-23T13:31:01.000Z,RT @AbiyAhmedAli: I attended the inaugural ceremony of the bakery built by the Office of the First Lady in Agaro. The office's commitment t…,1706,0,0,0,0,,AbiyAhmedAli
https://twitter.com/FLEthiopia/status/1584116554312343554,2022-10-23T09:36:32.000Z,"ቀዳማዊት እመቤት ዝናሽ ታያቸው ፅ/ቤታቸዉ  ያስገነባውን 300 ሺ ዳቦና 42 ቶን ዱቄት የሚያመርት ፋብሪካ በአጋሮ ከተማ መረቁ
ግንባታው 7 ወራት ፈጅቷል ።
በ10 ከተሞች ተመሳሳይ አቅም ያላቸው ዳቦና ዱቄት ፋብሪካዎች እየተገነቡ በመሆኑ በቅርቡ ይመረቃሉ https://t.co/TFug5v93qJ",332,45,1003,8,0,,
https://twitter.com/FLEthiopia/status/1583736228222234624,2022-10-22T08:25:15.000Z,"ቀዳማዊት እመቤት ዝናሽ ታያቸው  በጅማ ዞን አኮ ወረዳ ያስገነቡትን 2ኛ ደረጃ ት/ቤት ጠቅላይ  ሚኒስትር ዶ/ር አብይ አህመድ በተገኙበት  መረቁ።
የቀዳማዊት እመቤት ፅህፈት ቤት በሁለተኛ ዙር ከገነባቸው 7 ትምህርት ቤቶች አንዱ ነው ዛሬ የተመረቀው። https://t.co/Mk2QAgeFW7",317,55,977,10,0,,
https://twitter.com/FLEthiopia/status/1581698240466268162,2022-10-16T17:27:01.000Z,ቀዳማዊት እመቤት ዝናሽ ታያቸው በጎንደር ከተማ የሚያስገነቡትን 300 000 ዳቦና 42 ቶን ዱቄት የሚያመርተውን ፋብሪካ የግንባታ ሂደትን ጎበኝተዋል።የቀዳማዊት እመቤት ፅ/ቤት በ11 ከተሞች ከሚያስገባው የዳቦና ዱቄት ፋብሪካ ዛሬ  የተጎበኘው አንዱ ነው። https://t.co/0FXURvoHT9,277,46,966,7,0,,
https://twitter.com/FLEthiopia/status/1568906823436013568,2022-09-11T10:18:30.000Z,"RT @PMEthiopia: In celebration of the Ethiopian New Year, Prime Minister Abiy Ahmed and First Lady Zinash Tayachew hosted pensioners and th…",593,0,0,0,0,,PMEthiopia
https://twitter.com/FLEthiopia/status/1568558466305777666,2022-09-10T11:14:15.000Z,#NewProfilePic https://t.co/WN4vGXRrew,204,115,1568,12,0,NewProfilePic,
https://twitter.com/FLEthiopia/status/1568556340116684803,2022-09-10T11:05:48.000Z,"ብርሃን የመኖሪያ መንደር-1 ተብሎ የተሰየመዉ በ800 ካ.ሜ ተገንቷል።  7 ባለ 2ና 13 ባለ 1 መኝታ አሉት ።ቀዳማዊት ዝናሽ ለ2014 ዋዜማ ማህበረሰቡን በጎበኙበት ወቅትና የአካባቢዉን የአኗኗር ሁኔታ ከተገነዘቡ በሗላ ነዉ ቤቶቹን ለመገንባት የወሰኑት
2/3 https://t.co/aNRJUJqBdK",54,15,213,1,0,,
https://twitter.com/FLEthiopia/status/1568556280251355137,2022-09-10T11:05:34.000Z,"ቀዳማዊት እመቤት ዝናሽ ታያቸዉ ዘነበ ወርቅ  በኮ/ቀ/ክ/ከ ዘውዴ ሜዳ አካባቢ በ75 ቀናት ያስገነቡትን 20 መኖሪያና 15 ሱቆችን አስረከቡ
በተለምዶ ቆሼ ተብሎ በሚጠራዉና ለስጋ ደዌ ተጠቂዎችና አቅመ ደካሞች ነዉ ቤቱን አስገንብተዉ ያስረከቡት
1/3 https://t.co/OUiUmEcjGR",160,30,610,4,0,,
https://twitter.com/FLEthiopia/status/1566142239327371264,2022-09-03T19:13:02.000Z,https://t.co/1RczfvGRbt,16,7,62,3,0,,
https://twitter.com/FLEthiopia/status/1566141959982518272,2022-09-03T19:11:55.000Z,"የኦርካም ማይ አይ ዘመናዊ መነጽር ከ1 አመት በፊት በ150 አይነስዉራን በፓይለት ፕሮጀክት ተሞክሮ ለአይነስዉራኑ እጅግ የጠቀመ ሆኖ በመገኘቱ አሁን 2000 ሰዎችን በሚጠቅም መልኩ አማርኛ እንዲያነብና የድምጽ ትእዛዝን እንዲቀበል ሆኖ ተሰርቷል
3/3",50,15,219,1,0,,
https://twitter.com/FLEthiopia/status/1566141954240421888,2022-09-03T19:11:54.000Z,"ከፊት ለፊት ምን እንዳለ እና ማን እንደመጣ መዝግቦ በመያዝ መረጃ ይሰጣል ፡፡ከለጋሾች በተገኘ ገንዘብ ወደ ሀገር ዉስጥ የገባዉ ኦርካም ማይ አይ የአይነስራኑን ህይወት የሚያቀልና የሰዉ እገዛ የሚቀንስላቸዉ ነዉ፡፡
2/3",52,4,228,2,0,,
https://twitter.com/FLEthiopia/status/1566141951015010305,2022-09-03T19:11:53.000Z,"የቀዳማዊ እመቤት ፅ/ቤት አይነስውራንን የሚረዳ የዘመኑ የቴክኖሎጂ ዉጤት የሆነ ኦርካም ማይ አይ የተሰኘ የማንበቢያ መነፅር ለ2000 አይነስውራን ሰጥቷል
መነጽሩ አማርኛም ሆነ እንግሊዝኛ ያነባል የገንዘብ ኖቶችን ይነግራል ቀለም ይለያል 
1/3 https://t.co/BSYyoIyZ1c",412,85,1407,16,0,,
https://twitter.com/FLEthiopia/status/1563966744426954753,2022-08-28T19:08:23.000Z,"RT @PMEthiopia: Prime Minister @AbiyAhmedAli and First Lady Zinash Tayachew, together with a Ministerial delegation, arrive in the North Af…",672,0,0,0,0,,"PMEthiopia,AbiyAhmedAli"
