tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/FdreService/status/1651633148776837121,2023-04-27T17:03:23.000Z,የጽንፈኝነትን ሰይጣናዊነት ያሳየ የግፍ ግድያ! https://t.co/kGjkFbxGpI,104,271,262,38,58708,,
https://twitter.com/FdreService/status/1644994621397958656,2023-04-09T09:24:14.000Z,"""የኮሙኒኬሽን ሥራዎቻችን በሁሉም ዜጎች መካከል መልካም መስተጋብርን የመፍጠር አቅም እንዲኖራቸዉ እየተሠራ ነው"" የመንግሥት ኮሙኒኬሽን አገልግሎት ሚኒስትር ዶክተር ለገሰ ቱሉ።
ለክልሎችና ለተቋማት የኮሙኒኬሽን ሃላፊዎች ሥልጠና እየተሰጠ ነው። https://t.co/KkuCrOJX3d",23,60,88,7,16705,,
https://twitter.com/FdreService/status/1644045423772856339,2023-04-06T18:32:28.000Z,በወቅታዊ ጉዳይ ከመንግስት ኮሙኒኬሽን አገልግሎት የተሰጠ መግለጫ https://t.co/Ngtd40lEqP,117,179,267,52,114166,,
https://twitter.com/FdreService/status/1640657480211472387,2023-03-28T10:09:59.000Z,"RT @PMEthiopia: On Media: 

Media rights come with responsibilities as well. There are some that unnecessarily incite conflict and hence so…",54,0,0,0,0,,PMEthiopia
https://twitter.com/FdreService/status/1640657009769959427,2023-03-28T10:08:07.000Z,"RT @PMEthiopia: Through our 3rd flagship ‘DineForGenerations’ initiative, tourism sites will be developed in Geralta, Hayk, Jima, Afar, Arb…",70,0,0,0,0,,PMEthiopia
https://twitter.com/FdreService/status/1640656386773209089,2023-03-28T10:05:39.000Z,RT @PMEthiopia: We are making efforts to build a democracy. We need to think about sustaining these efforts even with shortcomings as the a…,92,0,0,0,0,,PMEthiopia
https://twitter.com/FdreService/status/1640656180224618497,2023-03-28T10:04:49.000Z,"RT @PMEthiopia: #Ethiopia’s economy is continually growing &amp; as our ties within the global community increase, disruptions in the global ec…",49,0,0,0,0,Ethiopia,PMEthiopia
https://twitter.com/FdreService/status/1640655630942830593,2023-03-28T10:02:38.000Z,https://t.co/kGogvHRJz3,43,21,135,1,9611,,
https://twitter.com/FdreService/status/1632431573848199168,2023-03-05T17:23:10.000Z,"የፌዴራልና የክልል የሚዲያና 
ኮሙኒኬሽን ተቋማት የግማሽ አመት 
የጋራ ጉባኤ ለ 2 ቀናት በአዳማ ተካሂዷል። የሕዝብ ተወካዮች ምክር ቤት፣ የክልልና የፌዴራል ተቋማት የኮሙኒኬሽን ሃላፊዎች፣ የሚዲያ አመራሮች እና ባለሙያዎች የጉባኤው ተካፋይ ሆነዋል https://t.co/uGFp990vYy",13,23,85,1,16694,,
https://twitter.com/FdreService/status/1630916496187875328,2023-03-01T13:02:48.000Z,"በአማራና ኦሮሚያ ክልሎች የሚስተዋሉ ችግሮችን በጋራ ለመፍታት አቅጣጫ ተቀምጦ እየተሰራ ነው::
የአማራና የኦሮሚያ ክልል የመንግስት ኮሙኒኬሽን ቢሮ ሃላፊዎች በጉዳዩ ላይ ዛሬ የጋራ መግለጫ ሰጥተዋል። https://t.co/0T5TblAMsq",39,127,242,24,45057,,
