tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/GPEthiopia/status/1650897958169133057,2023-04-25T16:22:00.000Z,"UPDATE: April 25, 2023. 
Both Aragaw Sisay and Getnet Ashagre are released on bail. 
GPE welcomes that their right to follow their case while out on bail is observed, but we reiterate that the mass detention of Amhara persons of interest is entirely based on trumped up charges… https://t.co/cWP6M3s5G9",6,0,10,0,363,,
https://twitter.com/GPEthiopia/status/1650821461223809025,2023-04-25T11:18:01.000Z,".@LemkinInstitute issued a Red Flag Alert for Genocide Ethiopia. In their statement the stated .. 

"" Exact figures on the number of injured and dead remain unknown for the time being due to the turmoil on the ground and the ongoing clashes. The protesters are concerned about… https://t.co/yYGXsAQZ25 https://t.co/VAg26lM8Tm",126,7,137,8,9889,,LemkinInstitute
https://twitter.com/GPEthiopia/status/1650367878279856130,2023-04-24T05:15:39.000Z,"""Ethnic cleansing of Oromia is part of an OLF plan to create an  independent Oromo nation (Oromia for the Oromo people), and reduce the  overall number of Amhara in the country. Tens of thousands of Amhara  civilians have been killed, thousands of homes destroyed on the… https://t.co/Auus6zUcJ0",69,12,84,4,8086,,
https://twitter.com/GPEthiopia/status/1649904880247504897,2023-04-22T22:35:51.000Z,"RT @AAA_Amhara: 📢#UPDATE: On April 13th, 2023, Dr. Wondwossen Assefa was abducted by Abiy regime forces following the outbreak of anti-regi…",360,0,0,0,0,UPDATE,AAA_Amhara
https://twitter.com/GPEthiopia/status/1649904850287710215,2023-04-22T22:35:44.000Z,RT @AAA_Amhara: 📢#MEDIA: Watch this video to understand why AAA in collaboration with @CHR_HumanRights @UPLawFaculty @UPTuks filed a compla…,189,0,0,0,0,MEDIA,"AAA_Amhara,CHR_HumanRights,UPLawFaculty,UPTuks"
https://twitter.com/GPEthiopia/status/1649904763469701120,2023-04-22T22:35:24.000Z,"RT @CHR_HumanRights: [VIDEO] 📽️📽️📽️
Condemnation of human rights violations by Ethiopian state and non-state

A @CHR_HumanRights advocacy p…",133,0,0,0,40,,"CHR_HumanRights,CHR_HumanRights"
https://twitter.com/GPEthiopia/status/1649154623788269569,2023-04-20T20:54:36.000Z,"#FreeYohannesTeshager
April 18, 2023. Government security forces have abducted Yohannes Teshager a 3rd year law student in Addis Ababa.  The Amhara Student Association (ASA) sounded the alarm about the abduction of Student Yohannes and Dr. Zeleke Misganaw who was a founding… https://t.co/iFDzcC9FGK https://t.co/PVJWqoK0Oh",152,3,143,12,9273,FreeYohannesTeshager,
https://twitter.com/GPEthiopia/status/1649153245032378383,2023-04-20T20:49:08.000Z,"#FreeZelekeMisganaw
 
April 19, 2023: Government security forces have abducted Dr Zeleke Misganaw. Dr. Zeleke just recently was part of a mediation team that played a great role in dealing with some disagreements among the leadership of the Amhara Student Association (ASA). ASA… https://t.co/r8FpdXhlSL https://t.co/8nnjWSbvWg",187,4,181,9,9634,FreeZelekeMisganaw,
https://twitter.com/GPEthiopia/status/1648061727706173451,2023-04-17T20:31:50.000Z,"""Journalists and media workers need to be able to do their work without any threat, intimidation and harassment to effectively carry out their professional duties of informing the public and contributing to holding authorities accountable""

Flavia Mwangovya, Amnesty… https://t.co/GYIezrpeKF",37,1,38,5,2598,,
https://twitter.com/GPEthiopia/status/1647597997679693827,2023-04-16T13:49:08.000Z,"At least 8 journalists detained amid renewed unrest in Ethiopia
https://t.co/vEKvdzCweI

#FreeMeskeremAbera
#FreeGenetAsmamaw
#FreeDawitBegashaw

#FreeAmharaDetainees
#ProtectFreedomFighters
#JournalismIsNotACrime 
#PrisonersofConscience

*Join GPE Telegram channel for more… https://t.co/tH1SHTWXl8",108,5,104,5,5961,"FreeMeskeremAbera,FreeGenetAsmamaw,FreeDawitBegashaw,FreeAmharaDetainees,ProtectFreedomFighters,JournalismIsNotACrime,PrisonersofConscience",
