tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/Mustafe_M_Omer/status/1651666545364332554,2023-04-27T19:16:05.000Z,"Saddened by the death of our colleague Girma Yeshitila, Head of Prosperity Party Amhara Region Office, who was killed by merchants of violence &amp; enemies of tolerance. Rest in peace Comrade! My condolences to his family, friends, colleagues, the people of Amhara region &amp; Ethiopia. https://t.co/DQcrJh18Ox",115,111,594,8,40730,,
https://twitter.com/Mustafe_M_Omer/status/1649128504812793889,2023-04-20T19:10:49.000Z,Eid Mubarak. https://t.co/T6Lqq2x87o,101,130,887,11,31606,,
https://twitter.com/Mustafe_M_Omer/status/1648782156980973569,2023-04-19T20:14:33.000Z,"The role of digitalization for improving service delivery, efficiency, transparency &amp; accountability as well as enhancing E-governance cannot be understated. Chaired Regional Science, Technology &amp; Information Communication Council to discuss budget allocation to the initiative. https://t.co/7nZxWJWhuf",62,38,396,8,21200,,
https://twitter.com/Mustafe_M_Omer/status/1647942016913879041,2023-04-17T12:36:08.000Z,Held a productive meeting with UNICEF Ethiopia Representative Dr. Aboubacar Kampo. Appreciated UNICEF’s considerable support to people in need in Somali Region and committed to strengthen our collaboration. https://t.co/5f0IW5ulAd,74,31,367,3,20350,,
https://twitter.com/Mustafe_M_Omer/status/1647581243427508225,2023-04-16T12:42:33.000Z,Distributed Eid (Holiday) clothes to orphans in Marmarsa Boarding School in Shinile district of Siti Zone. https://t.co/5hYgR8iKbr,82,68,546,6,26451,,
https://twitter.com/Mustafe_M_Omer/status/1647240451596902401,2023-04-15T14:08:22.000Z,"Inagurated 2 Projects in Sitii zone: 1) Erer Technical &amp; Vocational Training College (which will specialize on Agriculture) &amp; one of 5 TVET Colleges under construction in the region; and 2) Afdem Boarding School, one of 12 Boarding schools under construction in the region. https://t.co/wtB1iAyeIU",80,57,510,11,33864,,
https://twitter.com/Mustafe_M_Omer/status/1646575062911254529,2023-04-13T18:04:21.000Z,Attended the Jigjiga Grand Iftar Programme. Religious freedom is one of the reform dividends the people of the region are enjoying. https://t.co/vkWk1tMs1a,162,126,1143,12,51642,,
https://twitter.com/Mustafe_M_Omer/status/1646222011109199877,2023-04-12T18:41:27.000Z,Jigjiga City Bus services started. Increasing the coverage of the services and adding more towns will be the focus from here on. https://t.co/aA65XvvoTl,259,198,1945,26,84372,,
https://twitter.com/Mustafe_M_Omer/status/1645415476946776065,2023-04-10T13:16:34.000Z,The 12th Regular Somali RS Cabinet Meeting discussed &amp; agreed on next year (2016 Eth. Calendar) budget priorities. The Cabinet was also briefed on the envisaged harmonization of national &amp; regional security structures &amp; endorsed the regional police reform implementation plan. https://t.co/Un109cmsSz,290,306,1177,100,211280,,
https://twitter.com/Mustafe_M_Omer/status/1640777696098615297,2023-03-28T18:07:41.000Z,"Pleased to welcome Oromia RS President H.E Shimeles Abdissa &amp; his delegation to Jigjiga. Our heartfelt gratitude to Oromia for constructing a modern secondary school for Somali Reg.,with a cost of Birr 80m. It is testament to the brotherly relations b/n our two people. https://t.co/vj1CzMxDCH",208,208,1043,32,101475,,
https://twitter.com/Mustafe_M_Omer/status/1638094423836839936,2023-03-21T08:25:19.000Z,"While a basic truism in all times, in turbulent times, it becomes even more imperative to keep both eyes, heart &amp; head on the ball: ball being the real issues. Those who heed this basic precept win. Those who get distracted by sideshows &amp; red-herrings lose!",132,130,699,16,74510,,
https://twitter.com/Mustafe_M_Omer/status/1618240508102574081,2023-01-25T13:32:57.000Z,"Congratulations to Abdirahman Eid, the incoming CEO of Ethiopian Investment Holding. Abdirahman was a key member of the reform team in Somali Reg. before he was promoted to deputy CEO of the EIA which he will now lead. With his energy &amp; competence, he will excel. https://t.co/PB5mWc2YOv",211,178,1424,37,109824,,
https://twitter.com/Mustafe_M_Omer/status/1618204568629968897,2023-01-25T11:10:08.000Z,"Together with H.E Tagesse Chafo, the Speaker of Federal Parliament, handed over renovated houses to 31 families in Jigjiga. The joy the poor &amp; neglected beneficiaries expressed was uplifting. Next phase, we will replicate this for 50 other families in Jigjiga; &amp; for Zones later. https://t.co/Xyr6GZ9BKb",81,86,566,10,35396,,
https://twitter.com/Mustafe_M_Omer/status/1617789123322052609,2023-01-24T07:39:18.000Z,"Concluded Mid-Year Performance Evaluation of Zonal Administrations. In addition to sustaining gains made on security, increasing revenue, enhancing accountability, timely completion of projects, &amp; increasing production (agriculture + livestock) laid out as key areas of focus! https://t.co/hU6eaqynjZ",124,93,677,13,53467,,
https://twitter.com/Mustafe_M_Omer/status/1609215688341872640,2022-12-31T15:51:32.000Z,"Inaugurated 4 projects in Wardheer town, Dollo Zone: Primary Hospital; Blood Bank; 35 km urban water supply; &amp; 24 hr electricity. These services will transform the lives of the people of Wardheer town &amp; Dollo Zone. https://t.co/wxGuEcJdGj",59,64,292,9,25147,,
https://twitter.com/Mustafe_M_Omer/status/1601657868918624256,2022-12-10T19:19:27.000Z,Congratulations 🎈Morocco for becoming the First African team to qualify for the Semi-Finals of the 22nd FIFA World Cup. Wish you the best in your next game and hope you reach the final. https://t.co/O69zZqE7ZK,265,94,1938,15,0,,
