tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/NAMA_at_ABIN/status/1645713202028638209,2023-04-11T08:59:37.000Z,በወቅታዊ ጉዳዮች ላይ ከተቃዋሚ የምክርቤት አባላት የተሰጠ መግለጫ። https://t.co/JslCN1lbjf,63,19,136,2,15745,,
https://twitter.com/NAMA_at_ABIN/status/1645668679768473600,2023-04-11T06:02:42.000Z,"በወቅታዊ ጉዳይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፤
_______
https://t.co/Dbx8EjdEd9 https://t.co/6yicuLyx5R",116,19,276,4,28532,,
https://twitter.com/NAMA_at_ABIN/status/1645385507524825089,2023-04-10T11:17:29.000Z,"በወቅታዊ ጉዳይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፤
________ https://t.co/Lh2ej0Kz1X",106,43,266,8,31609,,
https://twitter.com/NAMA_at_ABIN/status/1643972341087518720,2023-04-06T13:42:04.000Z,"በወቅታዊ ጉዳይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፣
 _______

የአማራ ብሔራዊ ንቅናቄ (አብን) ሥራ አስፈጻሚ መጋቢት ፳፮ ቀን ፳፻፲፭ ዓ.ም https://t.co/pWNnVLsZC4",147,50,336,10,34682,,
https://twitter.com/NAMA_at_ABIN/status/1643472382781210626,2023-04-05T04:35:24.000Z,"ከአማራ ብሔራዊ ንቅናቄ ( አብን) ሥራ አስፈፃሚ ኮሚቴ በወቅታዊ ጉዳይ ላይ የተሰጠ የአቋም መግለጫ፡፡
__ https://t.co/VvjXevr3r7",142,64,338,6,32484,,
https://twitter.com/NAMA_at_ABIN/status/1635666024535056385,2023-03-14T15:35:44.000Z,"የአዲስ አበባ ከተማ አስተዳደር ከንቲባ ለአዲስ አበባ ከተማ አስተዳደር ምክር ቤት ያቀረቡትን ሪፖርት አስመልክቶ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ
የአማራ ብሔራዊ ንቅናቄ(አብን)
አዲስ አበባ፥ ሸዋ፣ ኢትዮጵያ
መጋቢት 5 ቀን 2015 ዓ.ም. https://t.co/Z62pdVyN3s",348,167,795,26,62332,,
https://twitter.com/NAMA_at_ABIN/status/1624045831325118469,2023-02-10T14:01:14.000Z,"===ከአብን የተሰጠ ወቅታዊ መግለጫ====
============================ https://t.co/Od1IsKVFba",31,109,123,13,37083,,
https://twitter.com/NAMA_at_ABIN/status/1606610043029291009,2022-12-24T11:17:38.000Z,"አጭር ማብራሪያ:-
*************
ምርጫ ቦርድ በቁጥር አ1162/11/812 ታኅሣሥ 14 ቀን 2015 ዓ.ም በጻፈው ደብዳቤ የአማራ ብሔራዊ ንቅናቄ (አብን) ፓርቲው የፊታችን ታህሳስ 22 እና 23 2015 ዓ.ም https://t.co/JGh4Sgqb3U",6,18,17,3,12607,,
https://twitter.com/NAMA_at_ABIN/status/1602013901180358656,2022-12-11T18:54:12.000Z,"በአዲስ አበባ ወቅታዊ ሁኔታ ላይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፣
**** 

የአማራ ብሔራዊ ንቅናቄ (አብን)
አዲስ አበባ ፣ ሸዋ፣ ኢትዮጵያ
ታህሳስ 01 ቀን 2015 ዓ.ም https://t.co/QREF7midT0",59,32,155,3,0,,
https://twitter.com/NAMA_at_ABIN/status/1601277886912417793,2022-12-09T18:09:33.000Z,"በወቅታዊ ጉዳይ ላይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ!

የአማራ ብሔራዊ ንቅናቄ (አብን)
አዲስ አበባ ፣ ሸዋ፣ ኢትዮጵያ
ሕዳር 30 ቀን 2015 ዓ.ም https://t.co/cA4XJwoUuZ",72,59,199,5,0,,
https://twitter.com/NAMA_at_ABIN/status/1599387505656492043,2022-12-04T12:57:51.000Z,"የፌደራል መንግስት በኦሮሚያ ክልል የተለያዩ የወለጋ አካባቢዎች በአማራ ተወላጆች ላይ እየተፈፀመ ያለውን የዘር ጭፍጨፋ በአፋጣኝ እንዲያስቆም የአማራ ብሔራዊ ንቅናቄ (አብን) ይጠይቃል፣
****
https://t.co/EAH4ZB1HLT https://t.co/Gl8pzoVnGM",262,200,562,19,0,,
https://twitter.com/NAMA_at_ABIN/status/1576953748185788416,2022-10-03T15:14:06.000Z,"በወቅታዊ ጉዳይ ላይ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፣
 *****
የአማራን ሕዝብ የማገት ፣ የማዋረድ እና የመጎንተል “ፖለቲካ” ከሽብርተኞቹ ትሕነግ/ወያኔ እና ኦነግ/ሸኔ አጋርነት ተለይቶ የሚታይ አይደለም! https://t.co/RK2Ig5Pdhg",88,34,254,11,0,,
https://twitter.com/NAMA_at_ABIN/status/1563215669335756801,2022-08-26T17:23:53.000Z,"አሸባሪው እና ተስፋፊው የትግራይ ወራሪ ኃይል የከፈተውን 3ኛ ዙር የወረራ ጦርነት አስመልክቶ ከአማራ ብሔራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ፤
__________ 
የአማራ ብሔራዊ ንቅናቄ (አብን)
አዲስ አበባ ፣ ሸዋ ፣ ኢትዮጵያ
ነሃሴ 20 ቀን 2014 ዓ.ም https://t.co/q1Riyp8b1x",47,47,117,9,0,,
https://twitter.com/NAMA_at_ABIN/status/1539846377722839040,2022-06-23T05:42:40.000Z,"The National Movement of Amhara (NaMA)’s Statement on the press release by the U.S. Department of State
__________

https://t.co/edN9NKhgyN
 
National Movement of Amhara (NaMA)
Addis Ababa, Shewa
June 22, 2022 https://t.co/U83oF3HhHu",87,38,138,6,0,,
https://twitter.com/NAMA_at_ABIN/status/1538886348509270017,2022-06-20T14:07:51.000Z,"በአማራ ሕዝብ ላይ ተጠናክሮ የቀጠለውን ጭፍጨፋ አስመልክቶ ከአማራ ብሄራዊ ንቅናቄ (አብን) የተሰጠ መግለጫ!
https://t.co/GPyzRaHkpX https://t.co/A4gxGvbdaN",90,58,189,5,0,,
https://twitter.com/NAMA_at_ABIN/status/1507742428542996487,2022-03-26T15:33:02.000Z,"የአብን የህዝብ ግንኙነት ኃላፊ አቶ ጣሂር ሙሃመድ በወቅታዊ ጉዳዮች ዙሪያ ያደረጉትን ውይይት ተከታተሉ ።
https://t.co/JhGGTKhtSW",4,30,19,0,0,,
https://twitter.com/NAMA_at_ABIN/status/1505960292592852998,2022-03-21T17:31:27.000Z,https://t.co/4uDyFZiira,112,45,230,1,0,,
https://twitter.com/NAMA_at_ABIN/status/1504799399939088387,2022-03-18T12:38:29.000Z,"አብን የማዕከላዊ ኮሚቴ ስብሰባውን በባህርዳር እያካሄደ ይገኛል።
በቀጣዮች ቀናት የጠቅላላ ጉባኤውን እንደሚያደርግም ገልጿል።
@NAMA_at_ABIN https://t.co/mjPWB5yt63",46,97,217,5,0,,NAMA_at_ABIN
https://twitter.com/NAMA_at_ABIN/status/1490754158554755077,2022-02-07T18:27:42.000Z,RT @MARHEIR_GEBRYE: የፌዴራሉ መንግስት በወለጋ አማሮች ላይ ያነጣጠረውን የማያባራ ዘር ተኮር ፍጅት ለማስቆም ተጨባጭ እርምጃዎችን እንዲወስድ በአጽንዖት እጠይቃለሁ።,886,0,0,0,0,,MARHEIR_GEBRYE
https://twitter.com/NAMA_at_ABIN/status/1488586304942186496,2022-02-01T18:53:26.000Z,የትግራይ ወራሪ ሀይል አሁንም በአፋር፣ በራያ (አላማጣ፣ ዋጃ፣ ጥሙጋ፣...፣ በዋግ አበርገሊ፣ ዛታና ኮረም እንዲሁመ በጎንደር አዳርቃይ፣ጠለምትና ዋልድባ ከፍትኛ ጥፋት እያድረስ ይገኛል፡፡ ቅድሚያ ለህዝባችን ደህንነት ዋስትና ሊስጥ ይግባል፡፡,129,36,351,4,0,,
https://twitter.com/NAMA_at_ABIN/status/1488584967672287240,2022-02-01T18:48:07.000Z,ወራሪው የትግራይ ሀይል በአፋር ህዝብ ላይ የሚያደርገው ግፍ ይብቃ፡፡ በአፋር ህዝብ ላይ የሚድረገው ጥቃት የአማራና የኢትዮጵያ ህዝብ ጥቃትም  ነው፡፡,198,47,680,7,0,,
https://twitter.com/NAMA_at_ABIN/status/1483057713630388224,2022-01-17T12:44:47.000Z,"RT @Tahir_MoTahir: ተከዜ በጥምቀት ዋዜማ … ! 

ኑ ጥምቀትን በጎንደር አብረን እናሳልፍ 
#VISITAMHARA https://t.co/uAVmPC4fsN",272,0,0,0,0,VISITAMHARA,Tahir_MoTahir
https://twitter.com/NAMA_at_ABIN/status/1481171542604140544,2022-01-12T07:49:49.000Z,"RT @MARHEIR_GEBRYE: ታሪክ ሁለተኛ እድል አይሰጠንምና፤ ከትናንት ስህተታችን እህ ብለን በወጉ ልንማርና ወትሮዝግጁዎች ልንሆን ይገባል። 

#ድልለሕዝባችን 
#ድልለአገራችን",174,0,0,0,0,"ድልለሕዝባችን,ድልለአገራችን",MARHEIR_GEBRYE
https://twitter.com/NAMA_at_ABIN/status/1481171482793365508,2022-01-12T07:49:34.000Z,RT @Tahir_MoTahir: ፍትህ ያልሰፈነበት ብሔራዊ መግባባት ዋጋ የለውም ። አሁን እንደምናየው እዚህ ሀገር ላይ አመፃ እና ስርዓት አልበኝነት ከሰለጠነ ፖለቲካ በላይ ያስከብራሉ ፤ ያደራድራሉ ። ብልፅግና ደግሞ ይሄ…,807,0,0,0,0,,Tahir_MoTahir
https://twitter.com/NAMA_at_ABIN/status/1477997157147885571,2022-01-03T13:35:56.000Z,"የአማራ ብሔራዊ ንቅናቄ (አብን) ማዕከላዊ ኮሚቴ በአዲስ አበባ ከተማ ታህሳስ 23 እና 24 ቀን 2014 ዓ.ም የተለያዩ አጀንዳዎች ላይ ሰፊና ጥልቅ ውይይት በማድረግና  ውሳኔዎችን በማሳለፍ መደበኛ ጉባኤውን በስኬት አጠናቋል። 
👇👇 https://t.co/j9zz9cmCRT",77,74,254,8,0,,
https://twitter.com/NAMA_at_ABIN/status/1477338569387749378,2022-01-01T17:58:57.000Z,በዛሬው ዕለት ታህሳስ 23/2014 ዓም  የአማራ ብሔራዊ ንቅናቄ #አብን የመአከላዊ ኮሚቴ ስብሰባችን ጀምሯል። https://t.co/YW1Yu2fEot,37,32,233,1,0,አብን,
https://twitter.com/NAMA_at_ABIN/status/1472247797554548740,2021-12-18T16:50:02.000Z,"ክብር በደምና አጥንታቸው ታሪክ እየሰሩ አገራችንን ከፀረ-ኢትዮጵያ ኅይልና ተላላኪዎቻቸው፣ ከባንዳና ሹምባሽ ወራሪዎች ለሚጠብቁት‼️
ክብር ለኢትዮጵያ መከላከያ፣ለአማራና አፋር ልዩ ኅይል፣ለፋኖና ሚኒሻው!

ኢትዮጵያ እንደ ልማዷ ታሸንፋለች።",103,21,279,0,0,,
https://twitter.com/NAMA_at_ABIN/status/1472245862676017152,2021-12-18T16:42:21.000Z,"ቀድመን እንዳልነው ወልድያና ቆቦ ብቻ ሳይሆኑ መቀሌ፣ አክሱምና አዲግራትም ከባንዳና አገር አፍራሾች ነፃ ይወጣሉ። አፍራሾች አገር የላቸውምና። ባንዳ ስሜት እንጅ የማሸነፍ ሞራልና ታሪክ የለውም። 

ባንዳ ይቀበራል
ኢትዮጵያ እንደልማዷ ታሸንፋለች!",330,35,1105,5,0,,
https://twitter.com/NAMA_at_ABIN/status/1471781890940145668,2021-12-17T09:58:41.000Z,"""ኢትዮጵያ አገራዊ ተቋማ አላት(ያስፈልጋታል) ከተባለ ከአገር መከላከያ ተቋም በላይ ያለ አይመስለኝም። በመሆኑም ወጣቶች ዛሬን ብቻ ሳይሆን ነገንም በማየት የአገር መከላከያ ተቋምን መቀላቀያ ጊዜው አሁን ነው። "" ክርስቲያ ታደለ",296,32,927,10,0,,
https://twitter.com/NAMA_at_ABIN/status/1470402505079148547,2021-12-13T14:37:30.000Z,"❝የአማራ ወጣቶች የሀገር መከላከያ ሠራዊትን ትቀላቀሉ ዘንድ ዛሬም ጥሪዬን አቀርብላችኋለሁ❞ አቶ ክርስቲያን ታደለ 
የሕዝብ ተወካዮች ምክር ቤት አባልና የአማራ ብሔራዊ ንቅናቄ (አብን) የፖለቲካ ጉዳዮች ኃላፊ አቶ ክርስቲያን ታደለ",240,38,724,8,0,,
https://twitter.com/NAMA_at_ABIN/status/1468272974738378758,2021-12-07T17:35:31.000Z,"""እያንዳንዷን ስኬት በልኳ እያጣጣምን፤ ለተሻለ ስኬት…ለተሟላ ድል ወደፊት ብቻ እንገሰግሳለን። ከጉዟችን የሚያቆመን ድል ብቻ ይሆናል!
#ድልለሕዝባችን 
#ድልለአገራችን "" © ክርስቲያን ታደለ ፀጋዬ- የአብን የፖለቲካ ጉዳዮች ኅላፊና የፓርላማ አባል",72,11,302,0,0,"ድልለሕዝባችን,ድልለአገራችን",
https://twitter.com/NAMA_at_ABIN/status/1467920851257413637,2021-12-06T18:16:18.000Z,"ደሴና ኮምቦልቻ፣ ወልድያና ቆቦ ብቻ ሳይሆኑ መቀሌ፣ አክሱምና አዲግራትም ከባንዳና አገር አፍራሾች ነፃ ይወጣሉ። አፍራሾች አገር የላቸውምና። ባንዳ ስሜት እንጅ የማሸነፍ ሞራልና ታሪክ የለውም። 

ባንዳ ይቀበራል
ኢትዮጵያ እንደልማዷ ታሸንፋለች!",316,44,1162,9,0,,
https://twitter.com/NAMA_at_ABIN/status/1466138232870088707,2021-12-01T20:12:48.000Z,የአካልና የህይዎት መስዋት ከፍላችሁ ኢትዮጵያን ለምታስቀጥሉ፣ ህዝባችን ከጨቋኞች ስለምትታደጉት እንቁ ኢትዮጵያዊያን የማንከፍለው እዳ አለብን። የወገን ኅይል ጋሸና፣ ላሊበላ፣ ደሴ የሚል ድል ሳይሆን፣ ድል ጥላትን በማጥፋት የሚገለፅ ይሆናል!,128,18,428,1,0,,
https://twitter.com/NAMA_at_ABIN/status/1465743307192025091,2021-11-30T18:03:31.000Z,ወጣቶች የአማራ ልዩ ኅይልና የኢትዮጵያ መከላከያን ተቀላቀሉ‼️,138,24,503,4,0,,
https://twitter.com/NAMA_at_ABIN/status/1462681694931238914,2021-11-22T07:17:46.000Z,"#NoMore
ኢትዮጵያን ለኢትዮጵያዊያን! 
#NoMoreIntervention
#Nomore fascism and colonialism
#NoMoreTPLF
Ethiopia Shall prevail!",112,10,172,1,0,"NoMore,NoMoreIntervention,Nomore,NoMoreTPLF",
https://twitter.com/NAMA_at_ABIN/status/1461698410612936709,2021-11-19T14:10:32.000Z,#NoMore for Fascism and Colonialism!,146,11,299,5,0,NoMore,
https://twitter.com/NAMA_at_ABIN/status/1458490247893950473,2021-11-10T17:42:27.000Z,"Ethiopia: Survivors of TPLF attack in Amhara describe gang rape, looting and physical assaults

https://t.co/nevFUYe7kT",104,17,125,2,0,,
https://twitter.com/NAMA_at_ABIN/status/1458419369575436301,2021-11-10T13:00:48.000Z,"Ethiopia: Survivors of TPLF attack in Amhara describe gang rape looting and physical assaults.
                  @amnesty
Sixteen women from the town of Nifas Mewcha in Ethiopia’s Amhara region told AI they were raped by fighters from the TPLF during the 
https://t.co/nevFUYe7kT",185,7,171,1,0,,amnesty
https://twitter.com/NAMA_at_ABIN/status/1457989664904826881,2021-11-09T08:33:18.000Z,RT @ebczena: # Ethiopia: Massacre of Civilians in #Maikadra by Tigray Samri youth group https://t.co/eOQyaHDfOc,502,0,0,0,0,Maikadra,ebczena
https://twitter.com/NAMA_at_ABIN/status/1455951778978144257,2021-11-03T17:35:29.000Z,"After committing treason against Northern Command, the TPLF group has been at loggerheads with other ethnic groups, and has been working to destabilize Ethiopia by collaborating with internal and external forces to dismantle Ethiopia #Nov3 #NoMore @SecBlinken @USAmbUN",181,8,239,4,0,"Nov3,NoMore","SecBlinken,USAmbUN"
https://twitter.com/NAMA_at_ABIN/status/1455951649449652233,2021-11-03T17:34:58.000Z,"We Ethiopians, as the owners of our beloved Ethiopia, will Never forget what happened to ENDF, Nov.3 last year. #Nov3 #TPLFisTheCause @antonioguterres @JosepBorrellF @UNGeneva @_AfricanUnion @AUC_MoussaFaki   @EU_Commission @HouseForeign @StateDept…",55,7,58,2,0,"Nov3,TPLFisTheCause","antonioguterres,JosepBorrellF,UNGeneva,_AfricanUnion,AUC_MoussaFaki,EU_Commission,HouseForeign,StateDept"
https://twitter.com/NAMA_at_ABIN/status/1455942254846169089,2021-11-03T16:57:38.000Z,አንረሳውም!!! https://t.co/yh1B4O1sYf,83,8,238,1,0,,
https://twitter.com/NAMA_at_ABIN/status/1455834446310019074,2021-11-03T09:49:14.000Z,"አንረሳውም!!!
ጥቅምት-24",49,5,168,0,0,,
https://twitter.com/NAMA_at_ABIN/status/1455449347789893632,2021-11-02T08:19:00.000Z,https://t.co/RTCs06rvEm,149,18,357,7,0,,
https://twitter.com/NAMA_at_ABIN/status/1448349155563294726,2021-10-13T18:05:22.000Z,RT @Belay_Ma: .@addisstandard is operating against the ethics of journalism. It's fallacious &amp; biased report on the on-going #AmharaGenocid…,328,0,0,0,0,,"Belay_Ma,addisstandard"
https://twitter.com/NAMA_at_ABIN/status/1448345583698251779,2021-10-13T17:51:10.000Z,"RT @kassa_belete: Time after time, Amhara civilians in Oromia region have begged &amp; implored the gov't to protect them from the ethnic clean…",365,0,0,0,0,,kassa_belete
https://twitter.com/NAMA_at_ABIN/status/1448345534901719040,2021-10-13T17:50:59.000Z,"RT @AddisNewsNet: #Amhara civilians are facing ethnic cleansing, being massacred &amp; brutalized by OLA in Oromia region while journalists are…",198,0,0,0,0,Amhara,AddisNewsNet
https://twitter.com/NAMA_at_ABIN/status/1448341864340508677,2021-10-13T17:36:24.000Z,"1000's of Amharas killed, close to a million displaced from their homes &amp; no acknowledgement from the govt. It’s becoming evidently clear, civilians cannot depend on the leaders for protection against the Oromo extremists group OLA. #StopAmharaGenocide @hrw @EamonGilmore",281,12,209,9,0,StopAmharaGenocide,"hrw,EamonGilmore"
https://twitter.com/NAMA_at_ABIN/status/1448341652540645377,2021-10-13T17:35:33.000Z,RT @kassa_belete: It is baffling to witness the reluctancy and willing disregard of the on-going #AmharaGenocide in Oromia and Bensghangul…,300,0,0,0,0,AmharaGenocide,kassa_belete
https://twitter.com/NAMA_at_ABIN/status/1448341559787900933,2021-10-13T17:35:11.000Z,RT @kibret_ashenafi: Why has the Ethiopian federal &amp; Oromia regional govt refused to take the necessary measures to #StopAmharaGenocide bei…,108,0,0,0,0,StopAmharaGenocide,kibret_ashenafi
https://twitter.com/NAMA_at_ABIN/status/1448340956323975177,2021-10-13T17:32:47.000Z,RT @RasAsteraw: What will be the fate of civilians with an Amhara background in Oromia region? It is alarming &amp; horrifying as their cry for…,160,0,0,0,0,,RasAsteraw
https://twitter.com/NAMA_at_ABIN/status/1448340279363350529,2021-10-13T17:30:06.000Z,RT @kibret_ashenafi: Who will be held responsible? 100s of Amhara civilians continue to be killed in Wollega province of Oromia region ever…,82,0,0,0,0,,kibret_ashenafi
https://twitter.com/NAMA_at_ABIN/status/1448340217463808003,2021-10-13T17:29:51.000Z,RT @AddisNewsNet: Why has the Ethiopian federal &amp; Oromia regional govt refused to take the necessary measures to #StopAmharaGenocide being…,151,0,0,0,0,StopAmharaGenocide,AddisNewsNet
https://twitter.com/NAMA_at_ABIN/status/1448339999406034949,2021-10-13T17:28:59.000Z,"RT @kassa_belete: Under the leadership of @AbiyAhmedAli and @ShimelisAbdisa, Oromia region has become a slaughterhouse for Amhara civilians…",198,0,0,0,0,,"kassa_belete,AbiyAhmedAli,ShimelisAbdisa"
https://twitter.com/NAMA_at_ABIN/status/1448339441412714498,2021-10-13T17:26:46.000Z,RT @kibret_ashenafi: The primary &amp; main responsibility of a government should be enforcing law and order to ensure the safety of civilians…,118,0,0,0,0,,kibret_ashenafi
https://twitter.com/NAMA_at_ABIN/status/1448339301167734787,2021-10-13T17:26:12.000Z,RT @Belay_Ma: Survivors of the #AmharaGenocide in Oromia region have testified that local police members and leaders are helping the #OLA w…,797,0,0,0,0,"AmharaGenocide,OLA",Belay_Ma
https://twitter.com/NAMA_at_ABIN/status/1448338958644137986,2021-10-13T17:24:51.000Z,"RT @Getachewshi: Time after time, Amhara civilians in Oromia region have begged &amp; implored the gov't to protect them from the ethnic cleans…",494,0,0,0,0,,Getachewshi
https://twitter.com/NAMA_at_ABIN/status/1448338757158113284,2021-10-13T17:24:03.000Z,#OLA(Oromo Liberation Army) is on a killing spree targeting &amp; massacring Amhara civilians in Oromia region without any governmental force to stop them. #StopAmharaGenocide @vickyford @ckoettl @LaurieHanna @ReutersAfrica,284,24,224,15,0,"OLA,StopAmharaGenocide","vickyford,ckoettl,LaurieHanna,ReutersAfrica"
https://twitter.com/NAMA_at_ABIN/status/1448338441075318788,2021-10-13T17:22:47.000Z,Why has the Ethiopian federal &amp; Oromia regional govt refused to take the necessary measures to #StopAmharaGenocide being committed by #OLA? Their inaction to stop Oromo extremists makes them complicit in the crimes. @GerrySimpsonHRW @africanews @JosepBorrellF @eu_eeas @EUCouncil,420,18,324,13,0,"StopAmharaGenocide,OLA","GerrySimpsonHRW,africanews,JosepBorrellF,eu_eeas,EUCouncil"
https://twitter.com/NAMA_at_ABIN/status/1448338174451798018,2021-10-13T17:21:44.000Z,Who will be held responsible? 100s of Amhara civilians continue to be killed in Wollega province of Oromia region every week. There is little to none coverage &amp; acknowledgement of the atrocities being committed by #OLA. #StopAmharaGenocide @adamfleming @C_SOI @FoxReports @UNOSAPG,207,4,141,5,0,"OLA,StopAmharaGenocide","adamfleming,C_SOI,FoxReports,UNOSAPG"
https://twitter.com/NAMA_at_ABIN/status/1448337450586316809,2021-10-13T17:18:51.000Z,"There is a silent genocide happening to Amharas throughout Ethiopia. Children, pregnant women, and elderly are targeted for their ethnic background. There needs to be an IMMEDIATE attention given to #StopAmharaGenocide. @RepGregoryMeeks @AMcPhailUK @bbclaurak",174,2,108,1,0,StopAmharaGenocide,"RepGregoryMeeks,AMcPhailUK,bbclaurak"
