tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/PMEthiopia/status/1651827998692106240,2023-04-28T05:57:39.000Z,RT @AbiyAhmedAli: The great people of Sudan deserve peace. I have held phone discussions with both General Abdel Fattah al-Burhan and Gener…,375,0,0,0,0,,AbiyAhmedAli
https://twitter.com/PMEthiopia/status/1651607186827628544,2023-04-27T15:20:13.000Z,"ጠቅላይ ሚኒስትር ዐቢይ አሕመድ የግርማ የሺጥላን ሕልፈተ ሕይወት በተመለከተ ያስተላለፉት መልክት።

#PMOEthiopia https://t.co/ooLksbeFGY",148,131,399,13,60313,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1651594513029246979,2023-04-27T14:29:51.000Z,"አስራ አንደኛ ዙር የገበታ ለትውልድ ደጋፊዎች  

#PMOEthiopia https://t.co/0D4ZSXpEf1",24,2,66,3,9162,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1651177220096835584,2023-04-26T10:51:41.000Z,"20ኛ መደበኛ የሚኒስትሮች ምክር ቤት ስብሰባ ውሳኔዎች

#PMOEthiopia https://t.co/uZqKzYqTcz",70,20,210,2,20402,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1650731816364707840,2023-04-25T05:21:48.000Z,"አሥረኛው ዙር የገበታ ለትውልድ ደጋፊዎች

#PMOEthiopia https://t.co/FSbgHVb8cR",48,14,145,3,24648,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1650137134303510530,2023-04-23T13:58:45.000Z,"Today Ethiopia marks a milestone by closing a chapter of war and celebrating the conclusion of the historic peace agreement. “Enough With War - Let’s Celebrate Peace” is the theme of the day.

Watch live: https://t.co/Ci5zqzVYWY

#PMOEthiopia",139,0,341,30,43724,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1648658606542270467,2023-04-19T12:03:37.000Z,"ዘጠነኛው ዙር የገበታ ለትውልድ ደጋፊዎች

#PMOEthiopia https://t.co/FjCoSD5qzK",44,11,135,1,17068,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1648650458649575425,2023-04-19T11:31:14.000Z,RT @AbiyAhmedAli: ሰላም የሁሉም መልካም ነገር መሠረት እንደመሆኑ፣ ያለ ሰላም ልማት የማይታሰብ ነው። ሕዝባችን ሰላሙን በማረጋገጥ ፊቱን ወደ ልማት እንዲያዞር የማድረግ የጋራ ኃላፊነት አለብን:: በነቀምት ለነበ…,594,0,0,0,0,,AbiyAhmedAli
https://twitter.com/PMEthiopia/status/1648598040624734210,2023-04-19T08:02:57.000Z,"ጠቅላይ ሚንስትር ዐቢይ አሕመድ ዛሬ ጠዋት ነቀምት ከተማ ሲገቡ አባ ገዳዎች፥ሐደ ሲንቄዎች፣የሃይማኖት አባቶች፥አመራሮችና ሌሎች የኅብረተሰብ ክፍሎች ደማቅ አቀባበል አድርገውላቸዋል::

#PMOEthiopia https://t.co/THCKVbC9ip",124,0,369,8,15462,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1648559823259070464,2023-04-19T05:31:05.000Z,RT @AbiyAhmedAli: Ayidde cambalaalla! https://t.co/QMOuwOO3vo,261,0,0,0,0,,AbiyAhmedAli
https://twitter.com/PMEthiopia/status/1648273062687637504,2023-04-18T10:31:36.000Z,"ስምንተኛ ዙር የገበታ ለትውልድ ደጋፊዎች

#PMOEthiopia https://t.co/spOXCsZMNM",77,19,184,3,19265,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1647986616814665728,2023-04-17T15:33:22.000Z,RT @AbiyAhmedAli: الشعب السوداني يتمتع بالحكمة والقدرة  الكافيتين لحل الأزمة الحالية https://t.co/QqrjyaaFE0,439,0,0,0,0,,AbiyAhmedAli
https://twitter.com/PMEthiopia/status/1647503801224515585,2023-04-16T07:34:50.000Z,"Prime Minister Abiy Ahmed and First Lady Zinash Tayachew hosted the annual Easter meal at Unity Park for the elderly and individuals from low income households . 

#PMOEthiopia https://t.co/ePmdIVHvXO",169,0,520,11,23483,PMOEthiopia,
https://twitter.com/PMEthiopia/status/1647234349761273857,2023-04-15T13:44:07.000Z,"Prime Minister Abiy Ahmed also bids farewell to Somali President Hassan Sheikh Mohamud.

#PMOEthiopia https://t.co/KwQXYvC6rd",63,0,243,2,11716,PMOEthiopia,
