tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/TakeleUma/status/1647231517683228676,2023-04-15T13:32:52.000Z,"የድንጋዩ ግዝፈትና የመቃብሩ ጥልቀት ትንሳኤን አላስቀረውም::ከስቅለት በኋሏ ትንሳኤ፤ከጨለማ በኋላም ብርሀን አለ!
መልካም የትንሳኤ በዓል! https://t.co/T9IGWpi8Rx",151,185,1487,6,64207,,
https://twitter.com/TakeleUma/status/1638566124928286721,2023-03-22T15:39:41.000Z,"To all my sisters and brothers, wishing you happy Ramadan",71,139,894,6,48307,,
https://twitter.com/TakeleUma/status/1630928904750759936,2023-03-01T13:52:06.000Z,"Adawa was an example in our history of a heroic sacrifice by our grandfathers. They showed us, when you build bridges of unity &amp; find a common purpose, you can defeat anything! Despite the multitude of differences they realized that together they were stronger. Now it’s our turn. https://t.co/jQ5V5oW0b4",337,394,2779,26,106156,,
https://twitter.com/TakeleUma/status/1617848029226369030,2023-01-24T11:33:22.000Z,ሁላችሁንም የማዕድን ሚኒስቴር ሰራተኞች ከናንተ ጋር በመስራቴ ትልቅ ደስታ ይሰማኛል።ስለአክብሮታችሁና ስለ መልካም ምኞታችሁ ከልብ አመሰግናለው።መልካም የስራ ዘመን! https://t.co/YyyX9AiICk,260,299,2083,19,127128,,
https://twitter.com/TakeleUma/status/1615664388022706178,2023-01-18T10:56:22.000Z,"መልካም የጥምቀት በዓል ይሁንልን ::

Ayyaana Cuuphaa gaariii nuuf haa ta’u . https://t.co/MYo9yCzhtr",104,124,1263,6,93611,,
https://twitter.com/TakeleUma/status/1615658787666378753,2023-01-18T10:34:07.000Z,"The govt is working on utilizing the crude oil resources discovered, to ensure prosperity of the nation.2/2 https://t.co/Nb97rhXmkp",83,48,498,5,56747,,
https://twitter.com/TakeleUma/status/1615658773867290625,2023-01-18T10:34:03.000Z,"Oil exploration is being conducted in 5 basins throughout Ethiopia. In an oil exploration study conducted in Warra Iluu, part of the Abay basin, the study showed that there are more than 2 billion barrels of crude oil.1/2",283,262,1571,38,188710,,
https://twitter.com/TakeleUma/status/1614164490060271617,2023-01-14T07:36:18.000Z,"It is a privilege &amp; profound honor to serve Ethiopia. Resilience &amp; strength are embedded in our DNA, so there is no doubt we will continue to overcome. Thank you all for your relentless support, encouragement &amp; advice throughout the years.
My brother @AbiyAhmedAli 🙏",297,483,2309,54,194773,,AbiyAhmedAli
https://twitter.com/TakeleUma/status/1613857872605024257,2023-01-13T11:17:55.000Z,የአኮቦ ወርቅ ፋብሪካ ከሶስት ወር በኋላ ምርት ይጀራል::በዛሬው እለትም ከክልሉ እና ፌደራል አመራሮች ጋር በመሆን የፋብሪካ ተከላ ሂደቱን ተመልክተናል።ፋብሪካው በአመት ከ 100 ሚሊዮን ዶላር በላይ ገቢ የሚያስገኝ ነው። https://t.co/6PgN8yq2sN,126,64,720,7,69848,,
https://twitter.com/TakeleUma/status/1613529414486351872,2023-01-12T13:32:44.000Z,ክቡርነትዎ ስለጎበኙን እና ስላበረታቱን እናመሰግናለን:: https://t.co/PEwGSNCU3I,71,29,501,0,48792,,
https://twitter.com/TakeleUma/status/1612765595904139270,2023-01-10T10:57:36.000Z,የማዕድን እና ኢንዱስትሪ ጉዳዮች ቋሚ ኮሚቴ አባላት በሚኒስቴር መስሪያቤታችን እና ተጠሪ ተቋማት የመስክ ጉብኝት አድርገው ባገኙት ግብረ መልስ ዙርያ ገንቢ ውይይት አድርገናል። https://t.co/6EKfk6EcLb,56,26,387,2,37204,,
https://twitter.com/TakeleUma/status/1612415278796738560,2023-01-09T11:45:34.000Z,"One of the indications that our dream of increasing gold production at the level of large scale companies will come true,is the construction of the Kurmuk Gold Company,in Beneshangul region.We had the opportunity today to visit the factory,which is being built for 14 billion birr https://t.co/3uwURm4AuU",79,54,389,4,50073,,
https://twitter.com/TakeleUma/status/1611318660215472132,2023-01-06T11:08:00.000Z,"መልካም የገና በአል ይሁንልን!

Ayyaana gaariii . https://t.co/EhlyqS4hCt",52,60,515,4,46579,,
https://twitter.com/TakeleUma/status/1611290878999412737,2023-01-06T09:17:36.000Z,"ከሚኒስቴር መስሪያ ቤታችን ሰራተኞች ጋር ለሶስት ቀን ያካሄድነውን የ6 ወር አፈጻጸምና እና አገልግሎት አሰጣጣችንን የተመለከተ የማጠቃለያ ውይይት አድርገናል::
ቀጣዩን ጊዜያት በተሻለ መነሳሳት እና ቁርጠኝነት ስራችንን ለማከናወን ተግባብተናል:: https://t.co/CB1M33IhNu",49,43,273,3,28511,,
https://twitter.com/TakeleUma/status/1610254929888673792,2023-01-03T12:41:07.000Z,ከአገልግሎት ውጪ በሆኑ ቁርጥራጭ ብረታ ብረቶች ፣ ተሸከርካሪዎችና ማሽነሪች ሽያጭ ላይ የተደረገ የዋጋ ማሻሻያን በተመለከተ የገንዘብ ሚንስቴር እና የማዕድን ሚንስቴር የጋራ መግለጫ https://t.co/WjGrTnuIEI,43,25,193,6,30492,,
https://twitter.com/TakeleUma/status/1609215407512064000,2022-12-31T15:50:25.000Z,Happy New Year https://t.co/vKGZliNy3b,11,10,74,0,10114,,
https://twitter.com/TakeleUma/status/1609200150475427842,2022-12-31T14:49:48.000Z,We had very good conversations with university staffs. Thank you all https://t.co/0Q2vnIIhoi,47,50,284,3,39875,,
https://twitter.com/TakeleUma/status/1608772910638063616,2022-12-30T10:32:06.000Z,"We’ve kept the faith in an idea that together, we can build a better Ethiopia . This historic peace building across  Nation… one that was , is and will be the only possible trajectories to prosperous nation . To cement this togetherness the role of intellectuals is profound. https://t.co/DTh89Xfe34",47,62,275,4,35341,,
https://twitter.com/TakeleUma/status/1607290273700220929,2022-12-26T08:20:37.000Z,"Progress is always possible if we know where to look.We have not been without our challenges, but we rise today. We may still fall but what matters is we will rise again.
“ The greatest glory in living lies not in never falling, but in rising every time we fall”. - Nelson Mandela https://t.co/FTpsm7dJog",118,104,573,16,66279,,
https://twitter.com/TakeleUma/status/1607045601501249538,2022-12-25T16:08:23.000Z,Merry Christmas to everyone celebrating,26,30,189,1,32446,,
https://twitter.com/TakeleUma/status/1605828720903696384,2022-12-22T07:32:56.000Z,"We had a comprehensive discussion on the Ethiopian mining policy perspective as one of the five pillars of economic reform agenda with our Ethiopian Ambassadors who are on a mission. I hope when they return, investment will be their top priority. https://t.co/6AesL5u9N2",71,39,430,2,39013,,
https://twitter.com/TakeleUma/status/1602897388141776896,2022-12-14T05:24:52.000Z,Worth appreciation @AbiyAhmedAli @SecBlinken https://t.co/FFBP3TXO3U,214,229,1061,26,0,,"AbiyAhmedAli,SecBlinken"
https://twitter.com/TakeleUma/status/1601622181313531908,2022-12-10T16:57:39.000Z,My Africa my Morocco 💪,814,581,11769,52,0,,
https://twitter.com/TakeleUma/status/1600826368912424960,2022-12-08T12:15:22.000Z,"እየሰራን እንገኛለን። 
የድንጋይ ከሰል ምርት ሀገራዊ ፍጆታን በሚሸፍን መልኩ በጥራት የማምረት እቅዳችንን ለማሳካት ሁላችንም በትብብር እየሰራን እንገኛለን።ይህ እንቅስቃሴያችን እንደ ብረት ባሉ ሌሎች ምርቶች ላይም ይቀጥላል::",45,26,267,2,0,,
https://twitter.com/TakeleUma/status/1600826363371343878,2022-12-08T12:15:21.000Z,በሀገር ውስጥ ተመርቶ ለአምራች ኢንዱስትሪዉ የሚቀርበውን የድንጋይ ከሰል ምርት ጥራት እና ስታንዳርድ ለማውጣት የሲሚንቶ አምራች ፋብሪካዎች አሶሴሽን ፣ የድንጋይ ከሰል አምራች ፋብሪካዎች አሶሴሽን እንዲሁም የማእድን ሚኒስቴር በጋራ (1/2) https://t.co/3fsOub12Kv,107,98,582,9,0,,
https://twitter.com/TakeleUma/status/1598260025994391552,2022-12-01T10:17:39.000Z,"For clarification, my father is a farmer who is farming on his farm.",175,464,1406,58,0,,
