tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/ashenafi_meaza/status/1634053918777921536,2023-03-10T04:49:48.000Z,"RT @UN: We need more #WomenInJustice to ensure courts represent everyone they serve, address the concerns of all citizens &amp; hand down sound…",167,0,0,0,0,WomenInJustice,UN
https://twitter.com/ashenafi_meaza/status/1630585738164158465,2023-02-28T15:08:29.000Z,"RT @DanielBekele: Much thanks on behalf of my colleagues @EthioHRC to Hon. CJ Tewodros Meheret, DCJ  Abeba EmbiAlle, former CJ @ashenafi_me…",7,0,0,0,0,,"DanielBekele,EthioHRC"
https://twitter.com/ashenafi_meaza/status/1627946996534312961,2023-02-21T08:23:04.000Z,"Thank you for the heartily send off event organized by the new FSC leadership, judges and staff. Much appreciated. https://t.co/ocG0Tsr23m",30,93,378,2,47660,,
https://twitter.com/ashenafi_meaza/status/1617599268851679236,2023-01-23T19:04:53.000Z,"For those of you wondering where my next stop is, my answer is: I don't know, but I will embrace it. 

Goodbye for now.",16,53,150,5,22374,,
https://twitter.com/ashenafi_meaza/status/1617599263810400258,2023-01-23T19:04:52.000Z,"My job has not been an easy one. I received an honest support and advice from leaders, my family and friends whom I thank deeply. We all have a shared memory. Our memories and experiences are all that we have and we should cherish them.",19,18,121,0,14165,,
https://twitter.com/ashenafi_meaza/status/1617599256470376449,2023-01-23T19:04:50.000Z,"On this important day of my departure as the first woman President of the Federal Supreme Court of Ethiopia, I hope I have inspired women and young girls as they continue to assure me. I have served with utmost integrity and to the best of my knowledge and public interest. https://t.co/hjwBPk8p7h",83,268,648,47,83963,,
https://twitter.com/ashenafi_meaza/status/1617598852516675606,2023-01-23T19:03:14.000Z,"የኔ ቀጣይ ምዕራፍ ምን እንደሚመስል ጥያቄ ላላችሁ ሁሉ መልሴ አላውቅም ነው ፤ ነገር ግን የሚመጣውን በደስታ እቀበለዋለሁ::

ለጊዜው ደህና ሁኑ!",24,51,345,3,21480,,
https://twitter.com/ashenafi_meaza/status/1617598847957467157,2023-01-23T19:03:13.000Z,"ባለኝ ዕውቀትና ልምድ በጨዋነትና በከፍተኛ ታማኝነት አገልግያለሁ::

ሥራዬ ቀላል ባይሆንም ድጋፍና ምክር የሰጡኝን መሪዎች፣ ቤተሰቦቼና ጓደኞቼ ከልብ ማመሥገን እፈልጋለሁ:: ሁላችንም የጋራ ትውስታ ያለን በመሆኑ ልንጠብቀው ይገባል።",27,41,294,5,26911,,
https://twitter.com/ashenafi_meaza/status/1617598842093830147,2023-01-23T19:03:12.000Z,በዚህ ታሪካዊ ዕለት የፌደራል ጠቅላይ ፍርድ ቤት የመጀመሪያዋ ሴት ፕሬዝደንት ሆኜ የማገለግልበት ቀን በማብቃቱ ብዙ ሴቶችና ወጣቶች አሁንም እያረጋገጡልኝ እንዳለው አነሳስቻቸዋለሁ ብዬ ተስፋ አደርጋለሁ። https://t.co/iN49XJxvqB,88,230,775,13,84866,,
https://twitter.com/ashenafi_meaza/status/1617598235190693888,2023-01-23T19:00:47.000Z,Press Statement https://t.co/ij7v79odg8,40,48,199,12,32638,,
