tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/cdessalegn/status/1646296998004310017,2023-04-12T23:39:25.000Z,"I, with other panelists, discussed on AJ Inside strory why the Amhara People are opposing the decision to dismantling ASF. Please have a look at it.

What's behind violence opposing changes to Ethiopia's army? | Inside Story

https://t.co/FI5RrVMvMz",88,43,235,6,21734,,
https://twitter.com/cdessalegn/status/1646188069182226435,2023-04-12T16:26:35.000Z,"Watch live ours Dr. Senait Senay @SenaitSenay and Robel Alemu @TheFitawrari discussing the #AmharaResistance 

https://t.co/GUG32X64Ly",41,20,121,2,15950,AmharaResistance,"SenaitSenay,TheFitawrari"
https://twitter.com/cdessalegn/status/1645718289002143744,2023-04-11T09:19:50.000Z,A statement from MPs of the National Movement of Amhara on the  current political developments in Ethiopia. https://t.co/FBKrIJx4yL,201,40,385,14,28704,,
https://twitter.com/cdessalegn/status/1645508011589287936,2023-04-10T19:24:16.000Z,"Today, the regime's security forces gunned down my good friend and a brother, Abate Mesfin Abere, at his home, in the town of Merawi, Gojjam. Abate was a private citizen, never involved in politics or opposion. He was a business man and a father of 5 kids.
RIP, gentleman! https://t.co/SrGXXe7yjF",652,233,1217,58,92690,,
https://twitter.com/cdessalegn/status/1645471682180546561,2023-04-10T16:59:55.000Z,"RT @peeblesgraham: Breaking up the ASF, while leaving TPLF and OLF/A armed to the teeth wld leave Amhara people completely vulnerable to at…",475,0,0,0,0,,peeblesgraham
https://twitter.com/cdessalegn/status/1642120676877238273,2023-04-01T11:04:13.000Z,"Watch a clip 🎥 from international lawyer Zelalem (Zola) Moges' segment during the United States Holocaust Memorial Museum panel titled Ethiopian Voices On Current Mass Atrocity Risks on March 28, 2023.
#AmharaGenocide 

https://t.co/kkG8II7qbO",39,6,96,2,8381,AmharaGenocide,
https://twitter.com/cdessalegn/status/1641309750389268483,2023-03-30T05:21:53.000Z,"My interview with Messay Mekonnen of Anchor Media on the @AbiyAhmedAli's Q&amp;A session at the  @FDREHOPR

https://t.co/YGrCaLuFhW",31,9,108,1,8445,,"AbiyAhmedAli,FDREHOPR"
https://twitter.com/cdessalegn/status/1641068750186205185,2023-03-29T13:24:14.000Z,"English translation of @MARHEIR_GEBRYE question in a recent parliamentary session on the government's complicity in #AmharaGenocide and enabling invasions on the country's western border. 

https://t.co/b9fNE8eb9d",52,6,126,2,7628,AmharaGenocide,MARHEIR_GEBRYE
https://twitter.com/cdessalegn/status/1639723363156279299,2023-03-25T20:18:09.000Z,ይህንን ውጤታማ ስብሰባ ላዘጋጃችሁ፣ ለተሳተፋችሁ ወገኖቻችን በሙሉ ምስጋና ይገባችኋል !,10,4,66,0,5979,,
https://twitter.com/cdessalegn/status/1639723358496387074,2023-03-25T20:18:07.000Z,"(Federation of Amhara Associations in North America – FANA) እና በካናዳ የአማራ ማሕበራት ስብስብ - ካሳ ለዐማራ (Canadian Amhara Societies Alliance – CASA AMHARA) ናቸው። 
ትግላችን እስከ ነጻነት  ይቀጥላል !",14,4,71,1,6297,,
https://twitter.com/cdessalegn/status/1639723353127755779,2023-03-25T20:18:06.000Z,የዚህ ዝግጅት ስፓንሰር ከተመሠረተ ሶስት ወር ያልደፈነው የዋሽንግተን ዲሲ እና አካባቢው የአማራ ማሕበር (Washington  Area Amhara Association – WAAA) ሲሆን፤ አዘጋጆች የሰሜን አሜሪካ የአማራ ማሕበራት ፌደሬሽን ወይም ፋና,9,2,55,0,5082,,
https://twitter.com/cdessalegn/status/1639723349579378688,2023-03-25T20:18:05.000Z,"ታላቁ  የአማራ ስብሰባ በዋሽንግተን ዲሲ
The Grand Amhara Convention!

ስለ አማራ ሕዝብ የወደፊት ጉዞ ወንድም እህቶቻችን በዋሽንግተን ዲሲ በር ዘግተው እየመከሩ ነው። https://t.co/dqepaFfMqb",191,159,779,26,55036,,
https://twitter.com/cdessalegn/status/1638900278320611329,2023-03-23T13:47:30.000Z,"The English caption of my speech yesterday @FDREHOPR special session, objecting the delisting of TPLF from the terrorist designation. https://t.co/fxxavPeElg",215,92,508,15,32199,,FDREHOPR
https://twitter.com/cdessalegn/status/1638641007804727297,2023-03-22T20:37:15.000Z,"While the motion passed, the historically high vote of opposition to the motion has sent the message to the ruling party that the decision to keep TPLF armed is a grave security concern to #Ethiopia.",47,18,135,3,11082,Ethiopia,
https://twitter.com/cdessalegn/status/1638641004696723456,2023-03-22T20:37:14.000Z,"I want to thank all the MPs, particularly the majority of @AppAmhara MPs present &amp; all @NAMA_at_ABIN and @ezema MPs, for voting against the motion to delist TPLF as terrorist org. https://t.co/x34zgZyDtX",145,110,583,29,52258,,"AppAmhara,NAMA_at_ABIN,ezema"
https://twitter.com/cdessalegn/status/1638627366867009538,2023-03-22T19:43:03.000Z,"A piece from today's session of the parliament.
https://t.co/tKruAzdnzr",14,3,42,1,6968,,
https://twitter.com/cdessalegn/status/1638624389489983488,2023-03-22T19:31:13.000Z,"""When it comes to disarmament, demobilization and reintegration, none of them are fulfilled,"" he told Reuters.

""The federal government should guarantee to the public that TPLF won't wage another round of war.""",12,2,31,0,2404,,
https://twitter.com/cdessalegn/status/1638624386788761601,2023-03-22T19:31:12.000Z,"Dessalegn Chanie, a lawmaker from the opposition National Movement of Amhara (NaMA), voted against delisting, accusing the TPLF of not fulfilling its commitments in the peace deal.

https://t.co/2ETkRiNyHs",51,18,140,1,12561,,
https://twitter.com/cdessalegn/status/1634417442553225217,2023-03-11T04:54:18.000Z,"ከወንድሜ ጋዜጠኛ አበበ በለው ጋር በሰሜን አሜሪካ ስለነበረኝ ጉዞ፣ ወቅታዊ የኢትዮጵያ ሁኔታ እና ተያያዥ ጉዳዮች ዙሪያ ያደረግሁትን ረዘም ያለ ቆይታ እንድትከታተሉ በአክብሮት እጋብዛለሁ !

https://t.co/ZePOtVNpL5",66,31,272,0,14811,,
https://twitter.com/cdessalegn/status/1631788032683646978,2023-03-03T22:45:58.000Z,"Amhara Association of Georgia, invites Amharas in/around Atlanta, Georgia to a meeting on the current Ethiopian affairs. Professor Haile Larebo and I will be speaking at the event.

Date: Saturday March 4, 2023
Time: 1pm local
Venue: 2000 Century Blvd NE Atlanta, GA 30345 https://t.co/yQlDUHJ0ov",44,23,170,3,12977,,
https://twitter.com/cdessalegn/status/1628981274277736448,2023-02-24T04:52:55.000Z,"Dallas and Fort Worth area Amharas, See you this Sunday! https://t.co/emXep7tSL9",98,32,299,4,19583,,
https://twitter.com/cdessalegn/status/1628774379956862976,2023-02-23T15:10:48.000Z,"Chicago Amharas,
See you on Saturday at 2PM local time! https://t.co/1s5RTGbE7P",95,28,310,6,18014,,
https://twitter.com/cdessalegn/status/1628433094477770752,2023-02-22T16:34:39.000Z,"@JMeservey @HudsonInstitute Congrats, Joshua!",0,0,5,0,1166,,"JMeservey,HudsonInstitute"
https://twitter.com/cdessalegn/status/1627082188977246209,2023-02-18T23:06:38.000Z,"LA Amharas, see you tomorrow afternoon ! https://t.co/Ro1HemoqTF",63,12,208,1,13935,,
