tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/eskinder_nega/status/1549777618165272577,2022-07-20T15:25:52.000Z,"/
የህዝብ ልጅ!
/
#Ethiopia https://t.co/XBtx1tL9dz",95,80,514,4,0,Ethiopia,
https://twitter.com/eskinder_nega/status/1549042159893901313,2022-07-18T14:43:25.000Z,"/
""በአዲስ አበባ ት/ቤቶች የኦሮሚያ ክልል መዝሙር መዘመሩ ይቀጥላል፣ (ባንዲራውም መሰቀሉ ይቀጥላል)"" ---ወ/ሮ አዳነች አበቤ በአ/አ ምክር ቤት ሰሞኑን የተናገሩት!!

#ህዝባዊእምቢተኝነት 
/
#Ethiopia https://t.co/kuArxM5YD7",178,239,482,22,0,"ህዝባዊእምቢተኝነት,Ethiopia",
https://twitter.com/eskinder_nega/status/1548336438319534082,2022-07-16T15:59:08.000Z,"/
#watergate 

ተነቅቷል!!
/
#Ethiopia https://t.co/d4puEo4nMK",155,201,550,10,0,"watergate,Ethiopia",
https://twitter.com/eskinder_nega/status/1547995720644304900,2022-07-15T17:25:14.000Z,"/
#አዋሽአርባ

ታጋይ ይታሰራል እንጂ፣ ትግል አይታሰርም!
/
#ኢትዮጵያ #Ethiopia https://t.co/eYquU2cxkQ",82,64,371,7,0,"አዋሽአርባ,ኢትዮጵያ,Ethiopia",
https://twitter.com/eskinder_nega/status/1546102514155659264,2022-07-10T12:02:19.000Z,"/
 We have a dream!!
/
#Ethiopia #SriLankaProtests https://t.co/rzkspBl0BB",285,818,1000,143,0,"Ethiopia,SriLankaProtests",
https://twitter.com/eskinder_nega/status/1545764551550967809,2022-07-09T13:39:22.000Z,"# እንኳን ለ1443ኛው ዒድአል-አድሃ በዓል አደረሰን!!
የተጨፈጨፉት እና ጉዳት የደረሰባቸውን ወገኖች ፈጣሪ ያስባቸዋል!!
ኢድ ሙባረክ!!
/
#ኢትዮጵያ https://t.co/LjYOB7IRGY",43,29,312,1,0,ኢትዮጵያ,
https://twitter.com/eskinder_nega/status/1545016899762884611,2022-07-07T12:08:28.000Z,"/
While condolences are appropriate, they are no more sufficient. 

The state department should designate OLF/Shene as a terrorist organization.Its long over due. What group has deliberately killed more civilians? 

Action speaks louder than words.
/
#AmharaGenocide #Ethiopia https://t.co/EcPkYFZZLZ",126,28,264,11,0,"AmharaGenocide,Ethiopia",
https://twitter.com/eskinder_nega/status/1544679051562024962,2022-07-06T13:45:59.000Z,"/
በዚህ ውሳኔ የአማራ ስም አለመጠራቱ፣ የችግሩ ምንጭ መንግስት ውስጥ መሆኑ ፍንትው ብሎ ይታያል---በዋናነት ኦህዴድ/ኦሮሞ ብልፅግና!!

ችግሩን ማወቅ ግማሽ መፍትሄው ነው!
/
#ኢትዮጵያ #Ethiopia https://t.co/b4PhwfM6rS",242,57,592,18,0,"ኢትዮጵያ,Ethiopia",
https://twitter.com/eskinder_nega/status/1544352978097807361,2022-07-05T16:10:17.000Z,"/
የባልደራስ ወቅታዊ መግለጫ:-

ይነበብ!!https://t.co/RSbCRAxm7n
ባልደራስ--ሁሌም ለተጎጂዎች ቀድሞ ደራሽ!!
/
#Ethiopia #ኢትዮጵያ https://t.co/K2UMvT15xH",78,16,238,6,0,"Ethiopia,ኢትዮጵያ",
https://twitter.com/eskinder_nega/status/1544012238704574464,2022-07-04T17:36:18.000Z,"/
ይህ ከተለጠፈ ቦኃላ ዛሬ በወለጋ አማራ ተጨፍጭፏል!

ኦነግ/ሽኔ እና አጋሮቹ በአሜሪካው ስቴት ዲፓርትመንት በሽብርተኛነት ሊፈረጁ ይገባል!

How many more deaths before z designation of OLF/Shene and  allies as terrorists organizations?
/
#Ethiopia #ኢትዮጵያ https://t.co/WJ8dQNQIce",176,74,358,23,0,"Ethiopia,ኢትዮጵያ",
https://twitter.com/eskinder_nega/status/1543291259204288514,2022-07-02T17:51:23.000Z,"/
""ሽግሽግ እንጂ ሽግግር የለም"" የምንለው በማስረጃ ነው!

ትግላችን ትልቅ ታሪክ የሚሰራበት ነው!!
/
#ኢትዮጵያ #Ethiopia https://t.co/h2K4DU305j",232,75,781,7,0,"ኢትዮጵያ,Ethiopia",
https://twitter.com/eskinder_nega/status/1542888400763617280,2022-07-01T15:10:34.000Z,"/
A picture is worth a thousand words.
/
#Ethiopia #ኢትዮጵያ https://t.co/wqF5zrJrI7",197,114,640,16,0,"Ethiopia,ኢትዮጵያ",
https://twitter.com/eskinder_nega/status/1541768604886175745,2022-06-28T13:00:54.000Z,"/
የወለጋን ጭፍጨፋ ያወገዙና ገዢው ፓርቲ ስልጣን እንዲለቅ የጠየቁት የባህር ዳር ዩኒቨርስቲ ተማሪዎች የረሃብ አድማ ዛሬ አደረጉ።

ትግሉ ይቀጥላል!!
/
#ኢትዮጵያ #Ethiopia https://t.co/4VaA55CmeV",378,199,1078,47,0,"ኢትዮጵያ,Ethiopia",
https://twitter.com/eskinder_nega/status/1540674919100456961,2022-06-25T12:34:59.000Z,"/
ክብር በወለጋ ለተጨፈጨፉት አማራዎች ድምፅ የሆኑት የዩኒቨርስቲ ተማሪዎች!!
 
ትግሉ ገና ነው!
/
#Ethiopia https://t.co/CTM2vFU74V",542,126,1458,25,0,Ethiopia,
