tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,hashtags,mentions
https://twitter.com/reda_getachew/status/1650962160925700145,2023-04-25T20:37:07.000Z,"Finland’s commitment to resume its engagement in #Tigray’s recovery &amp; reconstruction efforts especially in the areas of education, water &amp; sanitation. We also discussed the status of the implementation of the CoHA &amp; compared notes on challenges posed by spoilers near and afar.",219,24,472,1,24489,Tigray,
https://twitter.com/reda_getachew/status/1650962153996709915,2023-04-25T20:37:05.000Z,Early this evening I met &amp; held discussions with @HAiraksinen D/Director General of the Africa &amp; Middle East department of the Finnish Ministry of Foreign Affairs &amp; her delegation that included the Ambassador @OutiHolpainen as well as other officials. We have discussed at length https://t.co/WFr57sUdUF,519,133,1139,20,70140,,HAiraksinen
https://twitter.com/reda_getachew/status/1650892383322615808,2023-04-25T15:59:50.000Z,"Justice &amp; accountability for crimes, challenges in the delivery of humanitarian aid as well as the US role in the recovery &amp; reconstruction efforts in Ethiopia in general &amp; Tigray in particular. I took the opportunity to express our gratitude to the US for its principled support.",368,61,693,21,35891,,
https://twitter.com/reda_getachew/status/1650892373776269315,2023-04-25T15:59:48.000Z,"It was a pleasure to welcome to my office and hold productive discussions with @MikeHammerUSA and Ambassador Tracy Ann Jacobson of @USEmbassyAddis this afternoon. We did raise and reached understanding on a number of issues including  the progress on the #thePretoria accords, https://t.co/DE7c1x7lQZ",847,341,1949,168,140253,thePretoria,"MikeHammerUSA,USEmbassyAddis"
https://twitter.com/reda_getachew/status/1650028575528026114,2023-04-23T06:47:23.000Z,RT @lia_tadesse: Honored to meet Sister Laura Girotto who has been serving Ethiopia for the last 30 years establishing Kidane Mehret Missio…,73,0,0,0,0,,lia_tadesse
https://twitter.com/reda_getachew/status/1649107287301029908,2023-04-20T17:46:30.000Z,ዒድ ሙባረክ ንሰዓብቲ እምነት እስልምና!,328,119,1292,10,74927,,
https://twitter.com/reda_getachew/status/1647447549085614084,2023-04-16T03:51:18.000Z,ሩሑስ ባዓል ትንሳኤ ንሰዓብቲ እምነት ክርስትና ትግራይና,584,333,2383,31,99792,,
https://twitter.com/reda_getachew/status/1647282008748351488,2023-04-15T16:53:30.000Z,We know ‘Fighting it out’ is not a typically Sudanese formula for conflict resolution or of resolving differences. We call on our brothers in #theSudan to stop the shooting &amp; come back to the drawing board so Sudan will continue to be the home that everyone makes it out to be!,780,394,1963,88,288054,theSudan,
https://twitter.com/reda_getachew/status/1646776934544670722,2023-04-14T07:26:31.000Z,"We held a meeting with Ambassador Teshome of the National Rehabilitation Commission on the remaining tasks in the #DDR process. Having evaluated the process undertaken thus far &amp; the tasks ahead, we have agreed to work closely on Demobilization &amp; Reintegration efforts in Tigray. https://t.co/KkRbxMETep",405,202,1259,22,91847,DDR,
https://twitter.com/reda_getachew/status/1646560178072846353,2023-04-13T17:05:12.000Z,"RT @WFP_Ethiopia: .@WFP, the regional govt &amp; cooperating partners are committed to tackling sale of humanitarian food in markets. We’re tak…",142,0,0,0,0,,"WFP_Ethiopia,WFP"
https://twitter.com/reda_getachew/status/1646144711382450176,2023-04-12T13:34:17.000Z,together in addressing the growing challenge of diversion &amp; sale of food aid meant for the needy. We also agreed to take appropriate measures against individuals involved in such abhorrent behavior &amp; to ensure that aid indeed reaches target beneficiaries in a timely fashion.,212,21,405,3,26381,,
https://twitter.com/reda_getachew/status/1646144694236200961,2023-04-12T13:34:13.000Z,"the past few years, I also highlighted  which areas we would like our partners to extend their support in order to help our hardworking people to get back on their feet again thereby helping reduce the pressure on the international community. We also emphasized the need to work",213,13,409,0,29793,,
https://twitter.com/reda_getachew/status/1646144676611727362,2023-04-12T13:34:09.000Z,Yesterday I had a very productive discussion with @WFP_Ethiopia country director ClaudeJibidar on @WFP’s operations in #Tigray &amp; on the need to coordinate our efforts going forward. While commending @WFP_Ethiopia for its commitment to the people of Tigray throughout our ordeal in https://t.co/SgJ3Ke6jmH,726,183,1563,23,86141,Tigray,"WFP_Ethiopia,WFP,WFP_Ethiopia"
