tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,mentions,hashtags
https://twitter.com/yilkal_kefale/status/1651768128534183942,2023-04-28T01:59:44.000Z,በወንድማችን አቶ ግርማ የሺጥላ ህልፈት የተሰማኝን ጥልቅ ሀዘን በክልሉ መንግስትና በራሴ ስም እየገለጽኩ፤ ለክልላችን ህዝብ፤ለቤተሰቦቹና ለወዳጅ ዘመዶቹ በሙሉ መጽናናትን እመኛለሁ።,15,0,46,0,3693,,
https://twitter.com/yilkal_kefale/status/1651768123907796992,2023-04-28T01:59:43.000Z,"ምክንያቱም የስርዓት አልበኝነት የመጨረሻ መዳረሻው ጥፋትና መጠፋፋት ነው።
ስለሆነም የክልላችን ህዝብ ዘላቂ ሰላሙን ለማረጋገጥ አንዲህ አይነት ስርዓት አልበኝነትንና ህገወጥ ተግባሮችን ከመንግሥት ጎን ቆሞ ሊያወግዝና ሊታገል ይገባል።",19,1,42,0,4477,,
https://twitter.com/yilkal_kefale/status/1651768119227043841,2023-04-28T01:59:42.000Z,"ፍትሃዊነትና እኩልነት ነው። ከዚህ ታሪኩና ስነልቦናው ጋር የሚቃረኑ ተግባሮች በሙሉ ስርዓት አልበኝነት የወለዳቸው ናቸው።
በህግና ስርዓት እንጅ በደቦ ፍርድ የግልም ሆነ የቡድን፤ እንዲሁም  የህዝብም ሆነ የአገር ጥቅምና ፍላጎት ማሳካት አይቻልም::",11,1,33,4,3856,,
https://twitter.com/yilkal_kefale/status/1651768116769173505,2023-04-28T01:59:42.000Z,"በዛሬው እለት ወንድማችን  አቶ ግርማ የሺጥላ በስራ ላይ በነበረበት በታጠቁ ኃይሎች ግድያ ተፈጽሞበታል። እንዲህ አይነት  እብሪተኝነት ውድቀትን እንጅ ድልን አያጎናጽፍም። ጥፋትን እንጅ ሰላምን አይሰጥም።
የህዝባችን የቆየ መገለጫው ስርዓታዊነት፣",50,3,157,15,20170,,
https://twitter.com/yilkal_kefale/status/1649316221945249802,2023-04-21T07:36:44.000Z,🇪🇹🇪🇹🇪🇹 https://t.co/b4V4uTAxHN,2,0,44,3,3597,,
https://twitter.com/yilkal_kefale/status/1647212872718594048,2023-04-15T12:18:47.000Z,🇪🇹🇪🇹🇪🇹 https://t.co/Nmeo1qkhbu,18,0,62,5,5372,,
https://twitter.com/yilkal_kefale/status/1643601302293815304,2023-04-05T13:07:41.000Z,የተፈጠረውን የሰላም ስምምነት ወደ ህዝብ ለህዝብ ግንኙነት በማሳደግ ተደጋግፈን ከችግራችን የምንወጣበትን መንገድ ማመቻቸት አለብን!!,35,0,127,24,19829,,
https://twitter.com/yilkal_kefale/status/1641693544774615044,2023-03-31T06:46:56.000Z,"በቤልጀም ብራስልስ  በተለያዩ ርዕሰ ጉዳዮች ዙሪያ ከአውሮፓ ህብረት የፓራላማ አባላት ጋር ውይይት አድርገናል።
 በሚኖረን ቆይታም ከተለያዩ አካላት ጋር ውይይት ይኖረናል ። 
🇪🇹🇪🇹🇪🇹 https://t.co/zfULJjF7jx",20,0,80,4,4001,,
https://twitter.com/yilkal_kefale/status/1641525269272879104,2023-03-30T19:38:16.000Z,🇪🇹🇪🇹🇪🇹 https://t.co/qGWdNimeBx,56,1,136,8,17021,,
https://twitter.com/yilkal_kefale/status/1641161108558868480,2023-03-29T19:31:14.000Z,https://t.co/ianLbXAA84,0,0,9,0,1432,,
https://twitter.com/yilkal_kefale/status/1638533905857798144,2023-03-22T13:31:40.000Z,ለመላው የእስልምና እምነት ተከታዮች እንኳን ለ1444ኛው የቅዱስ ረመዳን ወር በሰላም አደረሳችሁ ። የረመዳን ወር ለሃገራቸው ሰላም ዱኣ የሚያደርጉበት፣ በፍቅር፣ በማስተዋል ፣በመረዳዳትና በመተሳሰብ የምናሳልፍበት ወቅት ያድርግልን ።ረመዳን ከሪም! https://t.co/oroLXTWxW9,28,0,110,1,5256,,
